"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","705.00","710.00","721.00","692.10","2.01M","-0.78%"
"12-03-2026","710.55","690.05","713.00","685.40","1.00M","1.22%"
"11-03-2026","702.00","698.00","704.85","690.30","883.66K","0.90%"
"10-03-2026","695.75","695.00","699.00","677.45","1.14M","2.06%"
"09-03-2026","681.70","660.00","685.00","650.60","1.44M","1.13%"
"06-03-2026","674.05","680.30","687.80","662.90","752.28K","-1.50%"
"05-03-2026","684.30","701.00","703.20","673.10","1.71M","-2.38%"
"04-03-2026","701.00","699.05","704.90","673.80","1.64M","-0.57%"
"02-03-2026","705.00","680.00","710.10","674.00","1.95M","-0.83%"
"27-02-2026","710.90","698.85","712.70","686.75","1.41M","1.51%"
"26-02-2026","700.30","710.45","710.50","686.00","2.05M","-0.85%"
"25-02-2026","706.30","706.00","729.30","699.10","1.39M","1.07%"
"24-02-2026","698.85","714.05","715.35","680.00","1.95M","-2.69%"
"23-02-2026","718.15","709.95","720.80","705.20","838.25K","1.32%"
"20-02-2026","708.80","727.00","730.40","702.00","1.06M","-3.39%"
"19-02-2026","733.70","728.00","749.50","717.00","2.90M","0.71%"
"18-02-2026","728.50","726.30","733.85","713.45","1.17M","0.30%"
"17-02-2026","726.35","710.00","731.95","703.45","1.12M","2.45%"
"16-02-2026","708.95","706.00","728.85","697.25","998.14K","0.10%"
"13-02-2026","708.25","715.25","717.05","691.25","1.95M","-2.41%"
"12-02-2026","725.75","722.95","742.85","714.40","1.72M","1.33%"
"11-02-2026","716.25","730.50","736.55","710.25","1.56M","-1.55%"
"10-02-2026","727.55","726.00","736.00","717.00","922.36K","0.21%"
"09-02-2026","726.05","706.95","729.00","702.15","1.04M","2.83%"
"06-02-2026","706.10","710.70","713.60","695.00","1.09M","-1.18%"
"05-02-2026","714.50","694.10","718.00","678.20","1.67M","2.65%"
"04-02-2026","696.05","678.95","704.40","672.60","2.42M","2.98%"
"03-02-2026","675.90","654.00","684.85","625.95","7.39M","11.43%"
"02-02-2026","606.55","626.00","627.85","599.30","1.81M","-3.11%"
"01-02-2026","626.00","621.00","637.10","605.50","734.87K","0.76%"
"30-01-2026","621.25","601.35","631.00","600.50","1.14M","3.31%"
