"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","8,875.00","9,075.00","9,119.50","8,832.50","435.63K","-3.13%"
"12-03-2026","9,162.00","9,280.00","9,280.00","9,080.00","390.06K","-1.77%"
"11-03-2026","9,327.50","9,575.00","9,666.00","9,270.00","489.38K","-2.94%"
"10-03-2026","9,610.00","9,449.50","9,637.50","9,349.00","463.54K","2.42%"
"09-03-2026","9,383.00","9,600.00","9,645.50","9,351.00","334.50K","-4.41%"
"06-03-2026","9,816.00","9,780.00","9,884.50","9,690.00","386.55K","0.12%"
"05-03-2026","9,804.50","9,674.50","9,853.00","9,641.00","300.75K","1.57%"
"04-03-2026","9,652.50","9,516.50","9,704.50","9,516.50","319.65K","-1.26%"
"02-03-2026","9,776.00","9,725.50","9,941.50","9,565.00","330.33K","-1.97%"
"27-02-2026","9,972.50","10,072.50","10,091.50","9,940.00","231.93K","-1.36%"
"26-02-2026","10,110.00","10,146.50","10,187.00","10,029.50","177.81K","0.13%"
"25-02-2026","10,097.00","9,859.50","10,160.00","9,839.50","334.37K","2.73%"
"24-02-2026","9,829.00","9,875.00","9,875.00","9,660.00","259.76K","-0.77%"
"23-02-2026","9,905.50","9,851.00","9,930.00","9,814.00","145.46K","1.00%"
"20-02-2026","9,807.00","9,725.00","9,823.00","9,670.50","291.07K","0.80%"
"19-02-2026","9,729.00","9,991.00","10,059.50","9,701.00","310.76K","-2.52%"
"18-02-2026","9,980.00","9,826.50","10,009.00","9,804.50","334.46K","1.56%"
"17-02-2026","9,826.50","9,651.00","9,869.00","9,632.50","159.11K","1.33%"
"16-02-2026","9,697.50","9,710.00","9,774.50","9,643.00","88.32K","-0.64%"
