"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","6,741.00","6,865.00","6,942.50","6,670.00","819.26K","-3.36%"
"12-03-2026","6,975.50","7,175.00","7,227.50","6,961.00","1.26M","-3.83%"
"11-03-2026","7,253.50","7,574.00","7,574.00","7,227.00","621.56K","-3.76%"
"10-03-2026","7,536.50","7,380.00","7,566.50","7,338.50","494.73K","3.72%"
"09-03-2026","7,266.00","7,517.00","7,517.00","7,237.00","554.98K","-4.65%"
"06-03-2026","7,620.50","7,733.00","7,735.00","7,603.00","366.24K","-1.73%"
"05-03-2026","7,755.00","7,705.00","7,801.50","7,615.00","568.15K","1.68%"
"04-03-2026","7,626.50","7,700.00","7,705.00","7,571.50","593.73K","-2.55%"
"02-03-2026","7,826.00","7,800.00","7,996.50","7,715.50","494.15K","-2.30%"
"27-02-2026","8,010.50","8,220.00","8,230.00","7,987.00","774.35K","-2.19%"
"26-02-2026","8,190.00","8,040.00","8,225.00","8,024.50","427.40K","2.27%"
"25-02-2026","8,008.00","7,930.00","8,082.00","7,772.00","618.72K","1.00%"
"24-02-2026","7,929.00","7,990.00","8,059.50","7,902.00","430.81K","-1.36%"
"23-02-2026","8,038.50","7,990.00","8,057.50","7,937.50","247.25K","1.29%"
"20-02-2026","7,936.50","7,894.50","7,978.00","7,885.50","264.06K","0.50%"
"19-02-2026","7,897.00","8,036.00","8,140.00","7,884.00","424.78K","-1.40%"
"18-02-2026","8,009.50","8,024.00","8,043.50","7,945.00","223.33K","-0.32%"
"17-02-2026","8,035.00","7,981.00","8,051.50","7,925.00","266.57K","0.31%"
"16-02-2026","8,010.50","8,078.50","8,084.50","7,968.50","589.98K","-0.68%"
