"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","5,206.00","5,338.00","5,377.50","5,168.00","496.25K","-3.49%"
"12-03-2026","5,394.50","5,589.00","5,589.00","5,376.00","476.48K","-3.24%"
"11-03-2026","5,575.00","5,729.50","5,766.00","5,554.00","511.97K","-2.39%"
"10-03-2026","5,711.50","5,546.50","5,733.50","5,527.50","493.38K","4.22%"
"09-03-2026","5,480.00","5,447.00","5,510.00","5,337.50","306.36K","-0.59%"
"06-03-2026","5,512.50","5,571.00","5,571.50","5,490.00","431.01K","-1.36%"
"05-03-2026","5,588.50","5,513.50","5,622.50","5,480.00","545.41K","1.61%"
"04-03-2026","5,500.00","5,520.00","5,529.00","5,427.50","455.96K","-1.64%"
"02-03-2026","5,591.50","5,565.00","5,725.00","5,503.00","432.30K","-2.08%"
"27-02-2026","5,710.00","5,775.00","5,800.00","5,689.00","584.55K","-1.33%"
"26-02-2026","5,787.00","5,760.00","5,829.00","5,718.50","489.80K","0.86%"
"25-02-2026","5,737.50","5,511.00","5,840.00","5,500.50","898.49K","4.11%"
"24-02-2026","5,511.00","5,480.00","5,523.00","5,436.50","396.02K","0.41%"
"23-02-2026","5,488.50","5,504.50","5,549.00","5,437.00","310.19K","0.43%"
"20-02-2026","5,465.00","5,400.00","5,472.00","5,375.00","560.74K","0.93%"
"19-02-2026","5,414.50","5,600.00","5,644.50","5,387.50","307.77K","-3.17%"
"18-02-2026","5,592.00","5,595.00","5,628.00","5,546.50","197.77K","0.27%"
"17-02-2026","5,577.00","5,490.00","5,588.00","5,446.50","288.72K","1.55%"
"16-02-2026","5,492.00","5,578.00","5,623.50","5,459.00","285.72K","-1.65%"
