"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","2,018.00","1,984.80","2,024.00","1,981.20","383.96K","1.17%"
"12-03-2026","1,994.70","2,006.00","2,008.90","1,969.10","548.70K","-1.25%"
"11-03-2026","2,019.90","2,099.80","2,100.00","2,003.90","805.49K","-3.81%"
"10-03-2026","2,099.80","2,092.60","2,124.90","2,081.00","294.81K","0.75%"
"09-03-2026","2,084.20","2,045.00","2,094.10","2,009.00","769.36K","-0.48%"
"06-03-2026","2,094.20","2,125.00","2,137.10","2,075.00","464.79K","-1.88%"
"05-03-2026","2,134.40","2,084.90","2,140.00","2,065.00","543.90K","2.69%"
"04-03-2026","2,078.40","2,100.90","2,105.00","2,067.40","939.04K","-3.24%"
"02-03-2026","2,148.00","2,105.00","2,152.60","2,095.50","407.13K","-0.80%"
"27-02-2026","2,165.40","2,175.60","2,179.90","2,141.00","585.34K","-1.31%"
"26-02-2026","2,194.20","2,195.50","2,200.40","2,177.10","479.05K","-0.56%"
"25-02-2026","2,206.50","2,170.00","2,213.60","2,152.10","667.80K","2.16%"
"24-02-2026","2,159.90","2,262.00","2,265.50","2,152.30","673.84K","-5.47%"
"23-02-2026","2,284.80","2,275.00","2,301.30","2,223.90","381.76K","-0.37%"
"20-02-2026","2,293.40","2,168.00","2,366.50","2,162.00","900.57K","5.15%"
"19-02-2026","2,181.00","2,225.60","2,225.60","2,165.00","125.83K","-2.09%"
"18-02-2026","2,227.60","2,181.00","2,241.00","2,167.30","279.46K","1.66%"
"17-02-2026","2,191.20","2,161.10","2,195.10","2,152.60","177.34K","1.19%"
"16-02-2026","2,165.40","2,161.00","2,170.90","2,153.30","287.15K","-0.65%"
"13-02-2026","2,179.50","2,163.10","2,186.00","2,136.40","282.87K","0.09%"
"12-02-2026","2,177.50","2,188.50","2,189.90","2,144.00","422.60K","-0.50%"
"11-02-2026","2,188.50","2,180.80","2,200.70","2,166.20","440.77K","0.35%"
"10-02-2026","2,180.80","2,178.00","2,192.10","2,163.00","300.26K","0.21%"
"09-02-2026","2,176.20","2,193.00","2,196.40","2,162.80","348.26K","-0.46%"
"06-02-2026","2,186.30","2,174.30","2,190.00","2,152.00","259.82K","1.02%"
"05-02-2026","2,164.30","2,189.80","2,189.80","2,149.10","495.34K","-1.16%"
"04-02-2026","2,189.80","2,220.00","2,220.00","2,167.00","883.17K","-0.86%"
"03-02-2026","2,208.80","2,197.90","2,250.00","2,159.10","1.07M","0.50%"
"02-02-2026","2,197.90","2,183.40","2,210.00","2,125.00","745.81K","1.03%"
"01-02-2026","2,175.40","2,182.30","2,230.00","2,150.40","294.91K","-0.95%"
"30-01-2026","2,196.20","2,139.30","2,225.00","2,125.00","718.52K","2.15%"
"29-01-2026","2,150.00","2,152.00","2,158.50","2,113.40","576.73K","-0.51%"
"28-01-2026","2,161.10","2,169.90","2,182.80","2,128.10","1.04M","-0.57%"
"27-01-2026","2,173.40","2,261.80","2,267.00","2,162.20","1.08M","-3.97%"
"23-01-2026","2,263.20","2,278.00","2,289.50","2,241.00","569.77K","-0.64%"
"22-01-2026","2,277.80","2,281.00","2,297.90","2,255.20","692.97K","-0.08%"
"21-01-2026","2,279.70","2,300.00","2,312.90","2,240.10","830.82K","-1.70%"
"20-01-2026","2,319.10","2,327.00","2,339.00","2,282.00","643.89K","-1.16%"
"19-01-2026","2,346.40","2,325.00","2,354.00","2,302.00","609.58K","0.26%"
"16-01-2026","2,340.40","2,300.00","2,349.90","2,300.00","560.75K","1.01%"
"14-01-2026","2,317.10","2,300.00","2,322.10","2,282.10","196.44K","0.46%"
"13-01-2026","2,306.40","2,295.00","2,319.40","2,271.00","310.83K","0.46%"
"12-01-2026","2,295.80","2,264.10","2,303.00","2,232.60","402.13K","1.40%"
"09-01-2026","2,264.20","2,330.10","2,342.70","2,256.40","894.99K","-3.67%"
"08-01-2026","2,350.50","2,362.00","2,362.00","2,330.00","269.58K","-0.49%"
"07-01-2026","2,362.00","2,313.00","2,366.80","2,291.70","476.03K","2.40%"
"06-01-2026","2,306.70","2,289.00","2,309.90","2,266.10","330.94K","1.10%"
"05-01-2026","2,281.60","2,267.80","2,284.30","2,251.00","365.61K","0.60%"
