"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","2,931.10","2,965.00","3,025.00","2,922.60","7.22M","-3.30%"
"12-03-2026","3,031.20","3,115.10","3,142.80","3,020.00","6.97M","-4.32%"
"11-03-2026","3,168.20","3,276.00","3,292.90","3,156.00","4.57M","-3.81%"
"10-03-2026","3,293.70","3,278.00","3,309.40","3,228.90","2.67M","3.33%"
"09-03-2026","3,187.60","3,250.00","3,250.00","3,142.90","3.96M","-4.35%"
"06-03-2026","3,332.50","3,315.00","3,367.00","3,315.00","2.08M","-0.46%"
"05-03-2026","3,348.00","3,277.30","3,360.60","3,276.20","2.30M","2.56%"
"04-03-2026","3,264.30","3,240.00","3,278.10","3,207.90","4.54M","-2.10%"
"02-03-2026","3,334.30","3,299.90","3,374.90","3,283.00","3.00M","-1.86%"
"27-02-2026","3,397.40","3,460.00","3,488.10","3,381.10","3.77M","-2.50%"
"26-02-2026","3,484.60","3,505.00","3,507.00","3,461.60","2.00M","-0.19%"
"25-02-2026","3,491.30","3,435.00","3,500.90","3,425.40","2.27M","1.69%"
"24-02-2026","3,433.20","3,415.00","3,441.00","3,390.00","1.93M","-0.40%"
"23-02-2026","3,447.10","3,425.00","3,457.60","3,416.90","1.79M","1.01%"
"20-02-2026","3,412.80","3,443.00","3,449.90","3,402.50","2.26M","-0.55%"
"19-02-2026","3,431.80","3,534.90","3,546.50","3,421.30","2.48M","-2.80%"
"18-02-2026","3,530.50","3,491.10","3,545.00","3,483.20","1.68M","1.18%"
"17-02-2026","3,489.20","3,509.70","3,515.80","3,462.00","1.99M","-0.58%"
"16-02-2026","3,509.70","3,535.00","3,549.50","3,469.00","1.56M","-0.67%"
