"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","12,591.00","12,899.00","12,962.00","12,483.00","939.59K","-3.23%"
"12-03-2026","13,011.00","13,430.00","13,430.00","12,966.00","544.68K","-3.60%"
"11-03-2026","13,497.00","13,850.00","13,948.00","13,441.00","392.18K","-2.67%"
"10-03-2026","13,867.00","13,721.00","13,909.00","13,505.00","353.72K","2.66%"
"09-03-2026","13,508.00","13,800.00","13,800.00","13,365.00","676.22K","-4.60%"
"06-03-2026","14,159.00","14,339.00","14,466.00","14,115.00","390.63K","-1.78%"
"05-03-2026","14,415.00","14,300.00","14,570.00","14,081.00","448.65K","1.82%"
"04-03-2026","14,158.00","14,150.00","14,184.00","13,794.00","710.37K","-1.60%"
"02-03-2026","14,388.00","14,407.00","14,684.00","14,204.00","603.74K","-3.16%"
"27-02-2026","14,857.00","15,110.00","15,192.00","14,804.00","478.16K","-2.34%"
"26-02-2026","15,213.00","15,145.00","15,224.00","15,046.00","308.21K","0.95%"
"25-02-2026","15,070.00","14,860.00","15,133.00","14,837.00","356.50K","0.96%"
"24-02-2026","14,926.00","15,001.00","15,062.00","14,904.00","300.99K","-0.97%"
"23-02-2026","15,072.00","15,050.00","15,118.00","14,984.00","242.97K","0.63%"
"20-02-2026","14,977.00","14,903.00","15,077.00","14,848.00","515.85K","0.50%"
"19-02-2026","14,903.00","15,163.00","15,279.00","14,853.00","152.79K","-1.72%"
"18-02-2026","15,164.00","15,208.00","15,239.00","15,074.00","280.77K","-0.10%"
"17-02-2026","15,179.00","15,031.00","15,211.00","14,960.00","166.77K","0.85%"
"16-02-2026","15,051.00","15,237.00","15,299.00","14,960.00","210.18K","-1.22%"
