"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","426.50","439.00","441.95","418.10","11.97M","-3.84%"
"12-03-2026","443.55","440.95","446.90","425.00","12.29M","-0.43%"
"11-03-2026","445.45","465.00","469.90","440.00","8.94M","-2.98%"
"10-03-2026","459.15","458.20","470.65","455.30","11.89M","2.42%"
"09-03-2026","448.30","463.75","467.70","433.40","16.27M","-5.47%"
"06-03-2026","474.25","485.00","492.15","471.05","10.13M","-1.28%"
"05-03-2026","480.40","473.70","487.60","472.70","9.59M","2.05%"
"04-03-2026","470.75","490.00","492.00","466.05","12.49M","-5.47%"
"02-03-2026","498.00","485.00","506.50","483.00","11.53M","-1.44%"
"27-02-2026","505.30","495.00","509.00","491.55","19.99M","2.84%"
"26-02-2026","491.35","480.00","495.00","480.00","12.18M","2.40%"
"25-02-2026","479.85","478.00","482.95","474.30","7.34M","0.91%"
"24-02-2026","475.50","483.30","483.35","472.55","7.97M","-0.90%"
"23-02-2026","479.80","478.95","485.80","471.50","5.40M","1.46%"
"20-02-2026","472.90","476.30","482.90","471.05","5.48M","-0.34%"
"19-02-2026","474.50","489.00","490.00","470.00","5.69M","-2.93%"
"18-02-2026","488.80","490.60","498.75","485.20","8.29M","-0.19%"
"17-02-2026","489.75","482.45","491.00","479.30","6.66M","2.23%"
"16-02-2026","479.05","483.90","490.90","476.90","5.13M","-0.97%"
"13-02-2026","483.75","494.00","498.90","481.55","7.49M","-2.89%"
"12-02-2026","498.15","491.05","500.00","483.65","14.24M","2.25%"
"11-02-2026","487.20","488.00","497.80","479.30","19.07M","3.10%"
"10-02-2026","472.55","470.00","476.90","467.80","4.68M","1.23%"
"09-02-2026","466.80","460.00","472.95","456.80","9.82M","1.87%"
"06-02-2026","458.25","458.00","461.45","447.60","9.35M","0.52%"
"05-02-2026","455.90","461.60","465.75","454.00","4.55M","-0.56%"
"04-02-2026","458.45","464.00","472.90","456.65","8.20M","0.11%"
"03-02-2026","457.95","470.00","479.70","451.25","14.92M","3.25%"
"02-02-2026","443.55","441.00","446.90","431.00","12.18M","0.51%"
"01-02-2026","441.30","458.50","465.50","435.00","5.28M","-3.75%"
"30-01-2026","458.50","461.00","485.40","450.55","15.83M","-2.49%"
"29-01-2026","470.20","473.75","475.50","459.75","11.68M","0.48%"
"28-01-2026","467.95","450.00","470.25","448.00","12.64M","5.42%"
"27-01-2026","443.90","450.00","454.75","438.50","12.07M","-1.18%"
"23-01-2026","449.20","446.95","456.40","439.35","11.56M","0.97%"
"22-01-2026","444.90","436.10","453.80","435.85","13.51M","2.31%"
"21-01-2026","434.85","431.35","449.55","421.10","13.06M","0.55%"
"20-01-2026","432.45","441.40","446.40","426.55","9.85M","-2.03%"
"19-01-2026","441.40","442.00","451.20","434.50","11.05M","0.66%"
"16-01-2026","438.50","431.95","446.65","427.50","12.64M","1.10%"
"14-01-2026","433.75","426.05","436.00","422.65","9.77M","2.26%"
"13-01-2026","424.15","425.30","432.50","422.15","7.17M","-0.18%"
"12-01-2026","424.90","430.00","430.05","414.70","10.32M","-1.54%"
"09-01-2026","431.55","431.00","446.15","428.20","15.30M","-0.84%"
"08-01-2026","435.20","436.85","441.50","430.50","11.21M","-0.13%"
"07-01-2026","435.75","435.00","440.65","430.15","13.13M","0.72%"
"06-01-2026","432.65","429.95","437.45","427.20","8.27M","1.45%"
"05-01-2026","426.45","433.85","437.80","422.50","15.75M","-3.57%"
"02-01-2026","442.25","433.10","448.00","432.75","15.27M","3.39%"
"01-01-2026","427.75","419.20","430.00","417.55","10.10M","2.95%"
"31-12-2025","415.50","411.85","418.00","409.70","6.27M","1.43%"
"30-12-2025","409.65","409.95","415.50","406.00","6.42M","0.04%"
"29-12-2025","409.50","410.00","418.00","406.55","7.17M","0.21%"
"26-12-2025","408.65","410.00","416.50","403.40","9.03M","-0.02%"
"24-12-2025","408.75","427.15","432.30","408.00","19.63M","-4.07%"
"23-12-2025","426.10","412.85","428.20","412.50","13.80M","3.50%"
"22-12-2025","411.70","396.35","414.00","394.35","12.08M","4.40%"
"19-12-2025","394.35","402.05","403.30","385.25","22.08M","-1.67%"
"18-12-2025","401.05","391.00","406.80","390.20","18.69M","3.66%"
"17-12-2025","386.90","389.00","397.50","383.55","10.04M","-0.12%"
"16-12-2025","387.35","377.95","390.00","374.50","10.33M","2.49%"
"15-12-2025","377.95","372.50","379.15","365.20","7.03M","1.20%"
"12-12-2025","373.45","371.50","379.00","366.35","12.39M","0.17%"
"11-12-2025","372.80","378.20","379.90","370.15","9.67M","-1.32%"
"10-12-2025","377.80","378.05","382.95","368.35","16.09M","1.26%"
"09-12-2025","373.10","357.10","381.95","353.50","16.12M","3.54%"
"08-12-2025","360.35","358.00","364.20","357.10","6.94M","0.22%"
"05-12-2025","359.55","355.00","361.45","349.35","6.65M","0.87%"
"04-12-2025","356.45","357.75","361.50","354.15","7.20M","-1.10%"
"03-12-2025","360.40","354.00","362.25","346.50","11.41M","1.58%"
"02-12-2025","354.80","360.00","368.00","352.15","8.30M","-1.18%"
"01-12-2025","359.05","352.45","365.00","351.15","12.84M","2.00%"
"28-11-2025","352.00","340.55","359.90","331.10","18.55M","2.36%"
"27-11-2025","343.90","322.50","347.70","322.00","22.67M","6.13%"
"26-11-2025","324.05","320.00","325.50","317.75","9.98M","1.95%"
"25-11-2025","317.85","314.00","320.00","310.05","7.69M","-5.12%"
