"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","1,254.80","1,251.90","1,262.30","1,248.70","17.34M","-0.92%"
"03/12/2026","1,266.50","1,275.70","1,280.50","1,258.30","19.68M","-2.17%"
"03/11/2026","1,294.60","1,300.00","1,306.50","1,290.90","13.22M","-1.32%"
"03/10/2026","1,311.90","1,287.60","1,315.00","1,285.60","19.14M","2.62%"
"03/09/2026","1,278.40","1,272.70","1,282.70","1,251.10","16.12M","-2.66%"
"03/06/2026","1,313.40","1,339.00","1,357.60","1,310.40","22.78M","-3.26%"
"03/05/2026","1,357.60","1,368.90","1,370.80","1,347.60","17.59M","-0.57%"
"03/04/2026","1,365.40","1,326.00","1,376.00","1,326.00","20.01M","-0.63%"
"03/02/2026","1,374.00","1,355.00","1,379.20","1,355.00","16.93M","-0.36%"
"02/27/2026","1,378.90","1,400.00","1,402.20","1,376.70","15.10M","-1.85%"
"02/26/2026","1,404.90","1,405.10","1,410.00","1,392.10","27.29M","0.31%"
"02/25/2026","1,400.50","1,391.80","1,407.40","1,388.20","16.30M","1.13%"
"02/24/2026","1,384.80","1,400.90","1,400.90","1,382.30","18.27M","-1.04%"
"02/23/2026","1,399.40","1,400.00","1,408.30","1,395.30","10.73M","0.35%"
"02/20/2026","1,394.50","1,388.50","1,403.70","1,384.00","10.34M","0.41%"
"02/19/2026","1,388.80","1,408.50","1,412.30","1,384.80","14.32M","-1.38%"
"02/18/2026","1,408.20","1,410.10","1,412.30","1,398.90","4.76M","0.05%"
"02/17/2026","1,407.50","1,406.20","1,413.60","1,393.60","11.76M","-0.29%"
"02/16/2026","1,411.60","1,404.00","1,414.00","1,400.50","5.00M","-0.21%"
"02/13/2026","1,414.60","1,425.30","1,434.40","1,410.70","12.23M","-1.08%"
"02/12/2026","1,430.00","1,406.10","1,433.00","1,405.30","19.65M","1.70%"
"02/11/2026","1,406.10","1,407.40","1,413.00","1,400.40","8.55M","-0.03%"
"02/10/2026","1,406.50","1,401.00","1,409.50","1,395.50","16.50M","0.73%"
"02/09/2026","1,396.30","1,413.50","1,414.00","1,388.80","7.89M","-0.70%"
"02/06/2026","1,406.10","1,396.70","1,410.50","1,394.70","10.85M","0.69%"
"02/05/2026","1,396.50","1,414.00","1,414.00","1,393.20","8.98M","-0.84%"
"02/04/2026","1,408.40","1,387.00","1,414.00","1,386.90","11.08M","1.35%"
"02/03/2026","1,389.70","1,412.00","1,417.00","1,373.40","24.90M","2.73%"
"02/02/2026","1,352.80","1,329.90","1,354.40","1,329.10","12.80M","1.39%"
"02/01/2026","1,334.20","1,352.00","1,365.90","1,328.80","4.97M","-1.54%"
"01/30/2026","1,355.00","1,368.20","1,381.90","1,353.20","24.01M","-2.07%"
"01/29/2026","1,383.60","1,359.00","1,387.70","1,354.40","23.12M","1.16%"
"01/28/2026","1,367.70","1,362.60","1,380.40","1,362.60","13.24M","0.46%"
"01/27/2026","1,361.40","1,340.00","1,369.10","1,328.60","25.26M","1.34%"
"01/23/2026","1,343.40","1,340.50","1,355.20","1,335.70","14.06M","-0.16%"
"01/22/2026","1,345.50","1,355.10","1,358.00","1,338.00","17.18M","-0.26%"
"01/21/2026","1,349.00","1,367.50","1,371.50","1,339.50","21.77M","-1.95%"
"01/20/2026","1,375.80","1,374.70","1,387.80","1,371.50","15.01M","-0.35%"
"01/19/2026","1,380.60","1,399.90","1,400.00","1,360.00","23.30M","-2.14%"
"01/16/2026","1,410.80","1,417.90","1,429.00","1,400.20","12.53M","-0.54%"
"01/14/2026","1,418.40","1,425.60","1,443.90","1,414.90","13.83M","-1.29%"
"01/13/2026","1,437.00","1,420.00","1,441.80","1,411.10","14.30M","1.69%"
"01/12/2026","1,413.10","1,399.90","1,424.30","1,391.70","10.92M","0.63%"
"01/09/2026","1,404.30","1,427.10","1,429.50","1,401.50","12.56M","-2.14%"
"01/08/2026","1,435.00","1,429.00","1,442.20","1,423.30","14.86M","0.51%"
"01/07/2026","1,427.70","1,408.00","1,429.90","1,404.20","15.81M","1.17%"
"01/06/2026","1,411.20","1,372.00","1,413.60","1,366.00","17.26M","2.89%"
"01/05/2026","1,371.50","1,354.20","1,375.50","1,352.60","6.92M","1.19%"
"01/02/2026","1,355.40","1,338.00","1,356.90","1,336.30","8.23M","1.30%"
"01/01/2026","1,338.00","1,343.90","1,348.40","1,336.00","4.18M","-0.36%"
"12/31/2025","1,342.90","1,342.80","1,350.00","1,339.50","6.15M","0.03%"
"12/30/2025","1,342.50","1,343.30","1,347.10","1,338.10","18.62M","-0.06%"
"12/29/2025","1,343.30","1,352.10","1,355.70","1,341.50","6.06M","-0.53%"
"12/26/2025","1,350.40","1,356.50","1,362.00","1,348.50","2.81M","-0.69%"
"12/24/2025","1,359.80","1,363.80","1,368.20","1,357.60","8.96M","-0.23%"
"12/23/2025","1,363.00","1,361.10","1,365.00","1,357.00","9.11M","-0.40%"
"12/22/2025","1,368.50","1,358.00","1,371.30","1,354.80","9.38M","1.06%"
"12/19/2025","1,354.10","1,354.00","1,360.40","1,350.80","14.32M","-0.20%"
"12/18/2025","1,356.80","1,346.30","1,369.50","1,345.50","7.31M","0.33%"
"12/17/2025","1,352.40","1,365.00","1,365.00","1,343.10","9.44M","-1.00%"
"12/16/2025","1,366.00","1,364.00","1,368.70","1,355.50","12.36M","0.06%"
"12/15/2025","1,365.20","1,356.10","1,370.00","1,356.10","5.34M","-0.06%"
"12/12/2025","1,366.00","1,368.00","1,370.70","1,363.30","3.89M","0.44%"
"12/11/2025","1,360.00","1,363.70","1,366.60","1,352.80","6.73M","-0.26%"
"12/10/2025","1,363.60","1,377.90","1,379.40","1,357.90","8.73M","-0.84%"
"12/09/2025","1,375.20","1,379.90","1,384.30","1,373.40","10.49M","-1.04%"
"12/08/2025","1,389.60","1,387.00","1,394.90","1,383.30","7.83M","-0.21%"
"12/05/2025","1,392.50","1,381.00","1,395.30","1,381.00","4.94M","0.42%"
"12/04/2025","1,386.70","1,387.00","1,391.60","1,379.90","7.37M","-0.34%"
"12/03/2025","1,391.50","1,367.00","1,394.20","1,367.00","7.96M","1.35%"
"12/02/2025","1,373.00","1,381.80","1,381.80","1,370.60","12.13M","-1.23%"
"12/01/2025","1,390.10","1,394.00","1,400.00","1,385.40","8.87M","0.09%"
"11/28/2025","1,388.80","1,392.00","1,398.50","1,385.60","7.68M","-0.24%"
"11/27/2025","1,392.20","1,379.00","1,394.00","1,375.70","15.16M","1.25%"
"11/26/2025","1,375.00","1,360.00","1,377.00","1,359.90","9.66M","1.27%"
"11/25/2025","1,357.80","1,365.00","1,376.90","1,354.30","12.24M","-0.77%"
"11/24/2025","1,368.40","1,373.30","1,377.00","1,361.50","15.90M","-0.08%"
"11/21/2025","1,369.50","1,373.00","1,376.00","1,364.60","11.48M","-0.98%"
"11/20/2025","1,383.00","1,380.10","1,388.30","1,375.40","10.13M","-0.01%"
"11/19/2025","1,383.10","1,373.50","1,384.00","1,371.60","10.39M","0.71%"
"11/18/2025","1,373.40","1,380.20","1,382.80","1,369.10","9.53M","-0.41%"
"11/17/2025","1,379.00","1,375.10","1,382.50","1,373.60","7.66M","0.44%"
"11/14/2025","1,373.00","1,374.00","1,381.20","1,363.20","9.69M","-0.93%"
"11/13/2025","1,385.90","1,358.90","1,390.40","1,358.50","18.30M","1.99%"
"11/12/2025","1,358.90","1,370.00","1,370.00","1,355.40","9.74M","0.04%"
"11/11/2025","1,358.30","1,349.00","1,360.40","1,346.20","8.31M","0.76%"
"11/10/2025","1,348.00","1,342.90","1,349.60","1,341.00","8.54M","0.37%"
"11/07/2025","1,343.00","1,320.40","1,344.30","1,318.60","7.72M","1.71%"
"11/06/2025","1,320.40","1,330.00","1,342.20","1,317.40","24.22M","-1.23%"
"11/04/2025","1,336.90","1,342.60","1,349.80","1,333.20","15.21M","-0.71%"
"11/03/2025","1,346.40","1,340.50","1,351.60","1,337.90","11.07M","0.08%"
"10/31/2025","1,345.30","1,357.00","1,362.00","1,343.30","15.93M","-1.26%"
"10/30/2025","1,362.40","1,362.40","1,370.20","1,361.30","9.32M","-0.58%"
"10/29/2025","1,370.40","1,364.60","1,371.70","1,358.40","16.13M","0.54%"
"10/28/2025","1,363.10","1,373.00","1,375.80","1,356.20","26.48M","-1.05%"
"10/27/2025","1,377.60","1,382.10","1,386.80","1,374.00","11.50M","-0.01%"
"10/24/2025","1,377.70","1,368.10","1,381.60","1,368.10","10.57M","1.03%"
"10/23/2025","1,363.70","1,385.00","1,389.80","1,360.10","21.12M","-1.32%"
"10/21/2025","1,382.00","1,384.50","1,387.60","1,375.90","3.42M","-0.60%"
"10/20/2025","1,390.30","1,442.00","1,445.00","1,389.20","23.33M","-3.22%"
"10/17/2025","1,436.60","1,412.00","1,439.60","1,410.90","17.04M","1.36%"
"10/16/2025","1,417.30","1,401.00","1,418.90","1,399.40","12.19M","1.35%"
"10/15/2025","1,398.40","1,386.50","1,400.40","1,385.50","8.99M","1.03%"
"10/14/2025","1,384.10","1,389.00","1,389.00","1,375.10","10.61M","0.34%"
"10/13/2025","1,379.40","1,373.10","1,386.40","1,373.10","8.92M","-0.07%"
"10/10/2025","1,380.30","1,370.30","1,385.00","1,370.30","7.67M","0.30%"
"10/09/2025","1,376.20","1,369.80","1,378.70","1,365.10","7.91M","0.43%"
"10/08/2025","1,370.30","1,372.30","1,381.60","1,364.30","8.10M","-0.41%"
"10/07/2025","1,375.90","1,363.60","1,383.10","1,363.60","16.13M","0.92%"
"10/06/2025","1,363.40","1,371.00","1,372.60","1,359.10","14.31M","-0.13%"
"10/03/2025","1,365.20","1,371.90","1,371.90","1,361.30","12.16M","-0.50%"
"10/01/2025","1,372.00","1,348.00","1,379.40","1,347.10","20.95M","1.78%"
"09/30/2025","1,348.00","1,353.70","1,356.60","1,342.60","20.17M","-0.01%"
"09/29/2025","1,348.10","1,359.60","1,366.50","1,346.20","20.56M","-0.85%"
"09/26/2025","1,359.60","1,368.00","1,372.70","1,357.00","18.34M","-1.18%"
"09/25/2025","1,375.80","1,377.00","1,391.50","1,371.80","21.61M","-0.50%"
"09/24/2025","1,382.70","1,386.40","1,390.90","1,376.50","9.74M","-0.83%"
"09/23/2025","1,394.30","1,391.00","1,403.30","1,391.00","12.83M","-0.51%"
"09/22/2025","1,401.50","1,403.90","1,409.90","1,397.20","8.85M","-0.05%"
"09/19/2025","1,402.20","1,416.10","1,418.00","1,400.20","13.46M","-1.37%"
"09/18/2025","1,421.70","1,431.10","1,432.80","1,415.30","8.13M","0.18%"
"09/17/2025","1,419.20","1,420.10","1,426.10","1,416.40","7.48M","-0.17%"
"09/16/2025","1,421.60","1,414.00","1,424.90","1,413.70","8.21M","0.15%"
"09/15/2025","1,419.40","1,422.00","1,426.80","1,416.30","5.85M","0.12%"
"09/12/2025","1,417.70","1,405.10","1,419.70","1,400.10","7.77M","1.15%"
"09/11/2025","1,401.60","1,398.00","1,408.00","1,396.00","10.19M","-0.16%"
"09/10/2025","1,403.90","1,410.00","1,413.70","1,402.10","7.45M","0.01%"
"09/09/2025","1,403.70","1,399.00","1,407.50","1,395.20","6.47M","0.07%"
"09/08/2025","1,402.70","1,402.20","1,410.60","1,397.60","5.88M","-0.01%"
"09/05/2025","1,402.80","1,411.00","1,411.50","1,387.70","6.62M","-0.19%"
"09/04/2025","1,405.50","1,409.90","1,415.10","1,401.90","10.56M","0.61%"
"09/03/2025","1,397.00","1,389.00","1,400.00","1,384.20","9.81M","0.20%"
"09/02/2025","1,394.20","1,413.90","1,413.90","1,390.00","7.16M","-1.19%"
"09/01/2025","1,411.00","1,398.10","1,412.40","1,398.10","4.93M","0.94%"
"08/29/2025","1,397.80","1,392.10","1,405.00","1,392.10","8.52M","-0.09%"
"08/28/2025","1,399.10","1,408.00","1,411.80","1,396.30","12.99M","-1.24%"
"08/26/2025","1,416.60","1,427.90","1,427.90","1,413.10","8.72M","-1.16%"
"08/25/2025","1,433.20","1,435.90","1,435.90","1,424.00","6.74M","-0.22%"
"08/22/2025","1,436.40","1,444.30","1,446.00","1,429.40","6.66M","-0.66%"
"08/21/2025","1,446.00","1,440.10","1,447.80","1,436.40","6.24M","1.08%"
"08/20/2025","1,430.60","1,432.60","1,435.90","1,423.00","5.82M","-0.40%"
"08/19/2025","1,436.30","1,431.10","1,438.50","1,426.30","6.71M","0.12%"
"08/18/2025","1,434.60","1,450.00","1,452.40","1,431.00","6.91M","0.51%"
"08/14/2025","1,427.30","1,412.00","1,431.10","1,412.00","7.58M","0.46%"
"08/13/2025","1,420.80","1,424.60","1,427.70","1,415.20","9.01M","-0.08%"
"08/12/2025","1,422.00","1,431.00","1,433.80","1,420.10","5.91M","-1.02%"
"08/11/2025","1,436.60","1,427.90","1,438.40","1,420.40","8.49M","0.05%"
"08/08/2025","1,435.90","1,445.90","1,447.60","1,432.00","5.42M","-0.31%"
"08/07/2025","1,440.30","1,441.10","1,447.90","1,429.10","7.43M","-0.23%"
"08/06/2025","1,443.60","1,442.30","1,454.00","1,441.60","7.81M","-0.06%"
"08/05/2025","1,444.40","1,453.00","1,461.50","1,441.00","14.80M","-1.28%"
"08/04/2025","1,463.20","1,476.80","1,478.80","1,461.30","6.14M","-0.57%"
"08/01/2025","1,471.60","1,480.40","1,485.10","1,469.80","4.42M","-0.66%"
"07/31/2025","1,481.40","1,469.90","1,494.50","1,464.00","12.41M","-0.07%"
"07/30/2025","1,482.40","1,487.70","1,488.50","1,477.30","7.24M","-0.26%"
"07/29/2025","1,486.20","1,479.90","1,489.80","1,475.40","9.78M","-0.15%"
"07/28/2025","1,488.40","1,477.10","1,493.80","1,477.10","7.51M","0.77%"
"07/25/2025","1,477.10","1,500.00","1,500.00","1,473.60","8.70M","-0.42%"
"07/24/2025","1,483.40","1,487.70","1,488.70","1,478.10","6.70M","-0.35%"
"07/23/2025","1,488.60","1,482.90","1,490.00","1,472.60","11.97M","1.02%"
"07/22/2025","1,473.60","1,474.10","1,482.00","1,469.70","8.93M","0.53%"
"07/21/2025","1,465.80","1,448.00","1,467.70","1,437.00","13.87M","2.81%"
"07/18/2025","1,425.80","1,415.80","1,429.00","1,408.50","11.30M","0.50%"
"07/17/2025","1,418.70","1,421.00","1,423.20","1,409.50","12.93M","-0.54%"
"07/16/2025","1,426.40","1,426.00","1,429.20","1,419.10","5.65M","-0.31%"
"07/15/2025","1,430.80","1,421.10","1,433.80","1,419.00","6.04M","0.55%"
"07/14/2025","1,423.00","1,424.90","1,424.90","1,416.10","5.85M","0.08%"
"07/11/2025","1,421.90","1,422.00","1,428.00","1,414.60","7.16M","-0.15%"
"07/10/2025","1,424.10","1,436.80","1,439.00","1,422.10","7.80M","-0.54%"
"07/09/2025","1,431.90","1,436.20","1,438.70","1,426.60","8.83M","-0.70%"
"07/08/2025","1,442.00","1,432.00","1,445.00","1,430.00","5.32M","0.44%"
"07/07/2025","1,435.70","1,437.00","1,440.90","1,429.60","5.18M","-0.49%"
"07/04/2025","1,442.80","1,427.00","1,444.40","1,421.10","5.07M","1.19%"
"07/03/2025","1,425.90","1,432.10","1,446.10","1,423.70","10.18M","-0.13%"
"07/02/2025","1,427.80","1,432.20","1,451.00","1,422.60","13.37M","-0.29%"
"07/01/2025","1,432.00","1,445.70","1,447.60","1,429.60","7.76M","-0.95%"
"06/30/2025","1,445.80","1,461.80","1,461.90","1,442.30","6.33M","-1.12%"
"06/27/2025","1,462.20","1,438.90","1,466.00","1,437.10","22.53M","1.61%"
"06/26/2025","1,439.10","1,424.80","1,447.50","1,421.70","13.62M","0.93%"
"06/25/2025","1,425.80","1,422.00","1,428.90","1,415.30","7.53M","0.12%"
"06/24/2025","1,424.10","1,427.70","1,435.90","1,416.50","11.19M","0.28%"
"06/23/2025","1,420.10","1,417.00","1,423.20","1,411.90","5.51M","-0.49%"
"06/20/2025","1,427.10","1,411.30","1,433.30","1,410.20","12.41M","1.12%"
"06/19/2025","1,411.30","1,408.00","1,414.70","1,404.70","8.85M","-0.09%"
"06/18/2025","1,412.60","1,417.00","1,432.00","1,410.20","6.75M","-0.74%"
"06/17/2025","1,423.20","1,426.90","1,429.80","1,417.80","6.97M","-0.26%"
"06/16/2025","1,426.90","1,416.60","1,429.00","1,414.20","5.45M","0.76%"
"06/13/2025","1,416.10","1,403.60","1,421.50","1,403.60","7.57M","-0.64%"
"06/12/2025","1,425.20","1,430.50","1,436.50","1,420.00","7.95M","-0.41%"
"06/11/2025","1,431.00","1,421.80","1,434.50","1,418.60","7.14M","0.57%"
"06/10/2025","1,422.90","1,439.00","1,441.70","1,416.50","12.91M","-0.83%"
"06/09/2025","1,434.80","1,465.00","1,466.80","1,433.40","11.02M","-1.71%"
"06/06/2025","1,459.70","1,448.60","1,461.40","1,442.10","11.58M","0.34%"
"06/05/2025","1,454.80","1,430.90","1,459.00","1,427.30","11.39M","1.66%"
