"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","62.57","64.30","64.60","61.99","44.92M","-3.41%"
"03/12/2026","64.78","65.00","65.68","64.12","34.06M","-2.09%"
"03/11/2026","66.16","67.46","67.87","65.80","29.54M","-1.65%"
"03/10/2026","67.27","66.40","67.60","65.52","66.45M","0.76%"
"03/09/2026","66.76","68.50","68.50","66.00","55.09M","-4.60%"
"03/06/2026","69.98","70.40","71.27","69.77","23.16M","-0.60%"
"03/05/2026","70.40","70.59","71.17","69.93","33.31M","0.49%"
"03/04/2026","70.06","70.23","71.20","69.65","40.22M","-2.40%"
"03/02/2026","71.78","70.50","73.25","70.31","60.52M","-2.31%"
"02/27/2026","73.48","72.91","73.80","71.91","73.50M","0.92%"
"02/26/2026","72.81","70.22","73.16","69.85","142.27M","3.69%"
"02/25/2026","70.22","71.55","71.68","69.82","90.87M","-1.06%"
"02/24/2026","70.97","69.89","72.24","68.50","321.54M","1.33%"
"02/23/2026","70.04","75.16","75.16","66.80","621.43M","-16.13%"
"02/20/2026","83.51","82.60","83.80","82.30","11.97M","0.64%"
"02/19/2026","82.98","84.94","86.19","82.25","29.47M","-1.93%"
"02/18/2026","84.61","83.35","85.55","82.65","27.41M","1.51%"
"02/17/2026","83.35","82.29","83.50","82.00","19.45M","0.53%"
"02/16/2026","82.91","81.01","83.11","80.93","11.74M","1.68%"
"02/13/2026","81.54","81.78","82.35","80.01","14.21M","-0.74%"
"02/12/2026","82.15","82.95","83.05","81.25","12.37M","-0.50%"
"02/11/2026","82.56","83.90","84.09","82.12","21.02M","-1.44%"
"02/10/2026","83.77","84.84","84.98","83.53","16.52M","-1.17%"
"02/09/2026","84.76","85.16","85.51","84.44","17.02M","-0.41%"
"02/06/2026","85.11","85.30","85.80","84.15","17.89M","-0.43%"
"02/05/2026","85.48","85.00","85.80","84.67","27.13M","0.40%"
"02/04/2026","85.14","84.80","85.29","84.04","23.06M","0.34%"
"02/03/2026","84.85","84.61","85.98","83.40","34.98M","4.48%"
"02/02/2026","81.21","82.08","82.40","79.38","35.46M","-1.00%"
"02/01/2026","82.03","84.50","84.50","81.16","26.92M","-1.85%"
"01/30/2026","83.58","82.52","84.50","82.52","42.06M","0.13%"
