"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","111.70","116.00","116.27","111.50","18.65M","-4.21%"
"12-03-2026","116.61","114.50","118.13","113.66","13.52M","0.66%"
"11-03-2026","115.84","117.95","118.44","115.50","14.48M","-1.44%"
"10-03-2026","117.53","117.00","117.95","115.51","18.31M","2.14%"
"09-03-2026","115.07","116.25","116.25","111.71","25.95M","-3.55%"
"06-03-2026","119.31","121.45","122.37","118.66","14.36M","-2.36%"
"05-03-2026","122.20","121.60","123.08","120.20","14.99M","0.68%"
"04-03-2026","121.37","124.37","124.90","120.39","25.00M","-3.71%"
"02-03-2026","126.05","125.05","128.70","124.45","22.92M","-2.62%"
"27-02-2026","129.44","130.25","130.85","128.60","17.76M","-0.80%"
"26-02-2026","130.48","130.69","132.65","129.09","25.78M","-0.05%"
"25-02-2026","130.54","131.15","131.66","129.51","11.96M","-0.37%"
"24-02-2026","131.03","130.25","132.10","129.30","20.88M","0.58%"
"23-02-2026","130.27","130.40","132.73","130.00","27.10M","0.52%"
"20-02-2026","129.59","125.60","130.40","125.37","30.26M","2.77%"
"19-02-2026","126.10","128.12","128.35","125.52","18.85M","-1.62%"
"18-02-2026","128.17","125.10","128.74","124.83","37.05M","2.68%"
"17-02-2026","124.82","120.57","125.60","119.81","39.93M","3.52%"
"16-02-2026","120.57","118.00","120.95","117.55","12.11M","1.52%"
"13-02-2026","118.76","120.10","120.36","118.30","14.74M","-1.82%"
"12-02-2026","120.96","122.85","122.91","120.50","15.32M","-1.59%"
"11-02-2026","122.91","123.10","123.72","121.11","14.59M","-0.04%"
"10-02-2026","122.96","124.00","124.00","122.57","12.02M","-0.39%"
"09-02-2026","123.44","123.99","125.10","123.02","12.65M","0.48%"
"06-02-2026","122.85","123.90","124.43","121.25","14.52M","-1.01%"
"05-02-2026","124.10","123.50","124.95","123.17","10.88M","0.36%"
"04-02-2026","123.65","123.85","124.39","122.65","10.40M","-0.17%"
"03-02-2026","123.86","126.50","129.01","122.70","15.96M","1.51%"
"02-02-2026","122.02","121.00","122.46","118.15","15.79M","0.35%"
"01-02-2026","121.59","124.80","124.80","119.14","18.75M","-2.88%"
"30-01-2026","125.19","124.50","126.03","123.26","14.20M","-0.05%"
"29-01-2026","125.25","124.80","126.24","124.34","32.91M","0.60%"
"28-01-2026","124.50","124.00","124.65","121.75","14.51M","1.26%"
"27-01-2026","122.95","121.27","123.49","120.00","16.10M","2.33%"
"23-01-2026","120.15","126.50","126.51","119.55","17.87M","-4.00%"
"22-01-2026","125.16","124.74","126.53","124.50","13.65M","0.94%"
"21-01-2026","123.99","125.30","126.69","122.79","17.18M","-1.42%"
"20-01-2026","125.77","127.90","130.35","125.10","46.61M","-1.78%"
"19-01-2026","128.05","132.30","135.15","125.25","86.35M","-3.26%"
"16-01-2026","132.36","128.68","132.79","128.65","34.70M","2.86%"
"14-01-2026","128.68","124.55","129.00","124.52","34.92M","3.34%"
"13-01-2026","124.52","123.80","124.66","122.58","14.48M","1.10%"
"12-01-2026","123.16","122.90","123.49","121.11","14.55M","0.21%"
"09-01-2026","122.90","123.00","124.84","122.24","13.02M","0.07%"
"08-01-2026","122.81","125.80","125.83","122.36","11.53M","-2.28%"
"07-01-2026","125.68","125.45","126.89","124.96","10.19M","0.17%"
"06-01-2026","125.47","124.95","126.08","124.56","10.80M","0.31%"
"05-01-2026","125.08","126.00","128.24","124.38","19.05M","-0.22%"
"02-01-2026","125.35","123.94","125.80","123.80","13.21M","1.14%"
"01-01-2026","123.94","123.70","124.70","123.16","7.73M","0.29%"
"31-12-2025","123.58","122.30","125.35","121.54","19.37M","0.98%"
"30-12-2025","122.38","120.22","122.77","119.49","24.86M","1.53%"
"29-12-2025","120.54","116.60","120.98","116.60","25.02M","0.14%"
"26-12-2025","120.37","120.77","120.98","119.45","8.34M","-0.46%"
"24-12-2025","120.93","121.00","121.55","120.71","10.65M","0.02%"
"23-12-2025","120.90","121.50","122.63","120.66","10.38M","-0.34%"
"22-12-2025","121.31","120.45","121.84","120.20","19.29M","1.24%"
"19-12-2025","119.82","118.55","119.97","118.55","9.73M","0.77%"
"18-12-2025","118.90","119.06","119.77","117.72","9.54M","-0.36%"
"17-12-2025","119.33","117.03","119.60","116.92","15.22M","1.97%"
"16-12-2025","117.03","118.49","118.89","116.64","11.69M","-1.44%"
"15-12-2025","118.74","117.30","119.35","116.66","18.90M","0.79%"
"12-12-2025","117.81","117.86","118.14","116.83","9.27M","0.20%"
"11-12-2025","117.57","117.42","118.12","116.20","14.40M","0.35%"
"10-12-2025","117.16","118.24","119.20","116.60","12.27M","-0.57%"
"09-12-2025","117.83","115.47","118.10","115.13","15.68M","1.58%"
"08-12-2025","116.00","121.65","121.68","115.25","24.06M","-4.69%"
"05-12-2025","121.71","119.69","121.90","119.15","22.67M","1.82%"
"04-12-2025","119.53","119.80","120.78","118.79","14.26M","-0.23%"
"03-12-2025","119.80","125.75","125.75","119.00","31.75M","-4.43%"
"02-12-2025","125.35","125.30","127.80","124.73","26.94M","0.04%"
"01-12-2025","125.30","124.99","126.38","124.75","17.51M","0.64%"
"28-11-2025","124.50","125.30","125.30","124.11","9.95M","-0.34%"
"27-11-2025","124.93","125.40","126.24","123.95","9.72M","-0.05%"
"26-11-2025","124.99","123.64","126.06","123.35","19.46M","1.58%"
"25-11-2025","123.05","121.70","123.45","121.37","11.55M","1.07%"
"24-11-2025","121.75","122.90","123.43","121.10","16.93M","-0.51%"
"21-11-2025","122.37","123.26","123.83","121.99","12.41M","-1.20%"
"20-11-2025","123.86","125.92","126.16","123.41","17.70M","-0.96%"
"19-11-2025","125.06","122.75","125.45","121.65","22.11M","2.19%"
"18-11-2025","122.38","123.64","123.78","122.17","10.07M","-0.50%"
"17-11-2025","123.00","122.70","124.85","122.31","18.04M","0.65%"
"14-11-2025","122.21","121.40","122.58","121.35","7.53M","0.94%"
"13-11-2025","121.07","122.61","123.50","120.80","10.84M","-1.13%"
"12-11-2025","122.45","122.50","123.30","122.00","10.33M","0.35%"
"11-11-2025","122.02","122.36","122.62","120.07","13.74M","-0.26%"
"10-11-2025","122.34","122.50","123.24","121.56","10.68M","-0.03%"
"07-11-2025","122.38","120.40","122.98","118.86","16.94M","1.59%"
"06-11-2025","120.46","123.99","123.99","120.16","18.90M","-2.26%"
"04-11-2025","123.25","123.15","123.79","122.22","14.19M","-0.22%"
"03-11-2025","123.52","123.10","124.48","122.69","19.50M","0.51%"
"31-10-2025","122.89","120.40","124.05","120.08","37.51M","2.33%"
"30-10-2025","120.09","121.05","121.89","119.70","23.11M","-0.83%"
"29-10-2025","121.10","120.90","122.35","120.70","18.35M","-0.02%"
"28-10-2025","121.13","120.08","121.50","119.20","37.12M","1.25%"
"27-10-2025","119.63","117.45","120.40","116.99","17.71M","2.30%"
"24-10-2025","116.94","118.22","118.69","116.27","13.12M","-1.08%"
"23-10-2025","118.22","118.20","120.20","117.71","31.32M","0.47%"
"21-10-2025","117.67","118.25","118.90","117.30","4.76M","-0.36%"
"20-10-2025","118.10","114.30","119.16","114.25","39.13M","3.87%"
"17-10-2025","113.70","116.15","116.73","112.75","16.74M","-2.08%"
"16-10-2025","116.11","116.65","117.84","115.97","15.19M","-0.25%"
"15-10-2025","116.40","115.50","117.17","115.40","10.60M","0.98%"
"14-10-2025","115.27","116.96","117.34","114.91","10.88M","-1.44%"
