"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","1,047.00","1,077.50","1,081.30","1,042.30","15.98M","-3.52%"
"03/12/2026","1,085.20","1,075.10","1,098.00","1,070.50","14.61M","-0.54%"
"03/11/2026","1,091.10","1,113.40","1,115.90","1,088.00","8.36M","-1.90%"
"03/10/2026","1,112.20","1,111.10","1,119.90","1,104.50","17.49M","1.25%"
"03/09/2026","1,098.50","1,115.00","1,115.00","1,064.30","24.63M","-3.89%"
"03/06/2026","1,143.00","1,168.50","1,169.30","1,138.00","20.33M","-2.27%"
"03/05/2026","1,169.50","1,181.00","1,183.20","1,150.60","22.10M","-0.43%"
"03/04/2026","1,174.50","1,172.10","1,182.70","1,157.60","13.86M","-1.29%"
"03/02/2026","1,189.90","1,185.00","1,197.30","1,179.40","16.27M","-0.98%"
"02/27/2026","1,201.70","1,207.00","1,211.80","1,198.60","10.70M","-0.64%"
"02/26/2026","1,209.50","1,201.00","1,215.40","1,188.90","16.20M","0.78%"
"02/25/2026","1,200.10","1,228.10","1,228.10","1,197.50","19.58M","-1.90%"
"02/24/2026","1,223.30","1,232.00","1,234.70","1,219.70","15.79M","-0.37%"
"02/23/2026","1,227.80","1,222.00","1,231.10","1,217.10","9.73M","0.96%"
"02/20/2026","1,216.10","1,206.20","1,218.00","1,201.80","9.96M","0.86%"
"02/19/2026","1,205.70","1,222.90","1,224.90","1,199.20","9.63M","-1.08%"
"02/18/2026","1,218.90","1,218.80","1,224.10","1,214.00","10.42M","0.45%"
"02/17/2026","1,213.40","1,206.10","1,225.50","1,204.10","20.11M","0.44%"
"02/16/2026","1,208.10","1,194.00","1,212.30","1,185.30","14.97M","0.79%"
"02/13/2026","1,198.60","1,189.00","1,201.00","1,184.50","18.14M","0.52%"
