"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","173.88","181.50","181.64","173.31","10.94M","-4.51%"
"12-03-2026","182.10","179.52","183.40","175.52","14.23M","0.65%"
"11-03-2026","180.92","187.50","187.55","180.40","12.58M","-2.89%"
"10-03-2026","186.30","182.00","187.55","179.80","18.49M","4.04%"
"09-03-2026","179.06","181.51","183.16","175.50","22.08M","-5.08%"
"06-03-2026","188.65","190.80","193.05","188.00","12.36M","-1.33%"
"05-03-2026","191.20","193.03","195.40","188.80","17.73M","0.04%"
"04-03-2026","191.13","196.00","196.00","189.40","23.92M","-3.53%"
"02-03-2026","198.13","195.04","201.20","195.04","22.26M","-2.05%"
"27-02-2026","202.27","202.01","205.49","199.86","23.42M","0.36%"
"26-02-2026","201.54","200.00","203.20","197.90","30.11M","1.12%"
"25-02-2026","199.30","201.30","202.54","196.62","20.25M","-0.66%"
"24-02-2026","200.62","197.60","202.24","196.21","19.36M","1.44%"
"23-02-2026","197.78","196.00","200.25","194.63","23.70M","1.96%"
"20-02-2026","193.98","189.35","194.90","188.50","14.60M","2.35%"
"19-02-2026","189.52","193.11","195.69","188.51","15.64M","-1.86%"
"18-02-2026","193.11","190.00","193.99","189.00","27.24M","2.23%"
"17-02-2026","188.89","183.55","190.00","181.86","29.24M","3.17%"
"16-02-2026","183.09","178.00","184.00","176.08","8.66M","2.36%"
"13-02-2026","178.87","180.00","180.76","178.10","8.73M","-1.18%"
