"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","18.80","19.22","19.25","18.75","94.00M","-2.64%"
"12-03-2026","19.31","19.45","19.52","19.02","87.15M","-1.13%"
"11-03-2026","19.53","19.91","20.04","19.48","69.92M","-1.91%"
"10-03-2026","19.91","19.86","20.04","19.73","78.22M","1.32%"
"09-03-2026","19.65","19.89","19.89","19.30","106.89M","-2.34%"
"06-03-2026","20.12","20.20","20.50","20.07","61.59M","-0.54%"
"05-03-2026","20.23","20.04","20.27","19.91","70.85M","1.10%"
"04-03-2026","20.01","19.87","20.23","19.84","108.97M","-0.84%"
"02-03-2026","20.18","19.93","20.52","19.91","141.05M","-2.61%"
"27-02-2026","20.72","21.01","21.01","20.65","98.98M","-1.52%"
"26-02-2026","21.04","20.75","21.24","20.75","214.47M","1.54%"
"25-02-2026","20.72","20.80","20.94","20.57","66.91M","-0.48%"
"24-02-2026","20.82","20.89","21.01","20.61","81.56M","-0.34%"
"23-02-2026","20.89","21.06","21.14","20.75","51.40M","-0.71%"
"20-02-2026","21.04","20.96","21.12","20.84","45.94M","0.38%"
"19-02-2026","20.96","21.24","21.33","20.83","40.68M","-1.32%"
"18-02-2026","21.24","21.09","21.26","21.08","39.09M","0.76%"
"17-02-2026","21.08","20.88","21.17","20.88","52.97M","0.57%"
"16-02-2026","20.96","20.76","20.99","20.70","46.68M","0.48%"
"13-02-2026","20.86","21.03","21.07","20.71","59.21M","-1.14%"
"12-02-2026","21.10","21.30","21.32","21.00","80.10M","-1.03%"
"11-02-2026","21.32","21.49","21.49","21.22","51.47M","-0.37%"
"10-02-2026","21.40","21.60","21.60","21.34","54.08M","-0.74%"
"09-02-2026","21.56","21.39","21.64","21.30","66.73M","1.27%"
"06-02-2026","21.29","21.36","21.43","21.07","63.58M","-0.42%"
"05-02-2026","21.38","21.59","21.65","21.20","79.89M","-0.79%"
"04-02-2026","21.55","21.31","21.63","21.26","101.19M","1.13%"
"03-02-2026","21.31","21.99","21.99","21.25","92.63M","0.57%"
"02-02-2026","21.19","21.18","21.35","20.81","76.91M","0.24%"
"01-02-2026","21.14","21.45","21.56","20.90","57.30M","-1.26%"
"30-01-2026","21.41","21.15","21.48","21.02","81.92M","0.47%"
"29-01-2026","21.31","21.48","21.55","21.02","262.83M","-0.79%"
"28-01-2026","21.48","21.20","21.55","21.18","87.80M","2.19%"
"27-01-2026","21.02","21.00","21.18","20.68","111.91M","0.48%"
