"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","992.30","1,008.10","1,027.30","980.00","2.24M","-1.20%"
"03/12/2026","1,004.40","987.00","1,019.00","976.00","1.13M","1.25%"
"03/11/2026","992.00","1,010.00","1,031.60","987.40","858.59K","-2.13%"
"03/10/2026","1,013.60","993.10","1,022.50","980.70","2.12M","3.28%"
"03/09/2026","981.40","970.50","986.90","958.10","1.18M","-1.12%"
"03/06/2026","992.50","980.00","1,007.70","979.80","1.53M","0.47%"
"03/05/2026","987.90","965.40","994.00","965.40","1.01M","2.85%"
"03/04/2026","960.50","956.40","968.50","948.80","1.78M","-1.21%"
"03/02/2026","972.30","961.00","988.00","951.00","1.36M","-3.88%"
"02/27/2026","1,011.55","1,022.00","1,034.40","1,008.00","702.34K","-1.21%"
"02/26/2026","1,023.95","1,023.20","1,036.20","1,009.00","1.11M","1.08%"
"02/25/2026","1,013.00","1,041.00","1,051.80","1,007.55","1.39M","-2.32%"
"02/24/2026","1,037.10","999.75","1,045.00","993.70","1.36M","3.32%"
"02/23/2026","1,003.80","1,003.10","1,010.00","993.15","1.27M","0.57%"
"02/20/2026","998.10","995.05","1,010.30","984.35","2.53M","-0.90%"
"02/19/2026","1,007.20","1,035.00","1,036.10","1,003.30","917.45K","-2.75%"
"02/18/2026","1,035.70","1,033.55","1,038.80","1,018.30","565.97K","0.53%"
"02/17/2026","1,030.20","1,002.00","1,035.00","996.00","1.46M","2.67%"
"02/16/2026","1,003.45","977.00","1,007.50","972.30","976.11K","1.56%"
"02/13/2026","988.00","1,017.00","1,017.00","979.00","1.66M","-3.40%"
