"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","861.35","865.25","878.75","844.00","6.76M","-0.60%"
"03/12/2026","866.55","849.60","881.95","837.40","6.59M","1.99%"
"03/11/2026","849.65","866.60","877.90","846.90","3.01M","-0.85%"
"03/10/2026","856.90","875.00","878.95","843.25","3.24M","0.32%"
"03/09/2026","854.15","841.00","858.00","825.00","1.92M","-0.50%"
"03/06/2026","858.40","879.60","894.55","855.15","5.78M","-2.96%"
"03/05/2026","884.55","886.25","889.75","864.60","4.66M","1.45%"
"03/04/2026","871.95","880.00","882.80","867.00","1.98M","-3.50%"
"03/02/2026","903.55","915.00","926.95","880.25","3.48M","-4.62%"
"02/27/2026","947.35","960.35","969.50","942.00","1.16M","-1.93%"
"02/26/2026","965.95","964.15","973.50","956.55","911.14K","0.19%"
"02/25/2026","964.15","984.95","988.60","960.00","1.35M","-1.75%"
"02/24/2026","981.35","970.15","988.00","956.45","1.29M","1.13%"
"02/23/2026","970.35","978.25","987.55","962.00","1.19M","0.22%"
"02/20/2026","968.25","976.40","980.75","965.00","1.22M","-0.84%"
"02/19/2026","976.50","1,000.10","1,005.00","970.00","1.50M","-2.36%"
"02/18/2026","1,000.10","1,019.00","1,019.95","987.40","1.96M","-1.64%"
"02/17/2026","1,016.80","982.65","1,018.95","979.25","3.77M","2.58%"
"02/16/2026","991.25","949.50","999.00","936.45","4.17M","4.29%"
"02/13/2026","950.50","988.90","989.90","943.75","2.94M","-4.73%"
