"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","146.57","151.00","153.90","145.30","54.48M","-1.70%"
"03/12/2026","149.11","138.84","151.98","137.51","81.28M","7.39%"
"03/11/2026","138.85","139.20","142.09","138.68","15.33M","-0.06%"
"03/10/2026","138.94","141.50","141.50","138.61","15.12M","-0.12%"
"03/09/2026","139.11","136.50","139.83","134.86","12.01M","0.09%"
"03/06/2026","138.99","139.60","142.59","138.50","11.77M","-0.80%"
"03/05/2026","140.11","139.00","140.55","138.11","8.27M","1.66%"
"03/04/2026","137.82","135.00","139.30","134.41","16.67M","-0.11%"
"03/02/2026","137.97","133.00","138.68","130.70","26.70M","-1.53%"
"02/27/2026","140.11","141.00","141.66","139.80","8.05M","-0.87%"
"02/26/2026","141.34","141.00","142.00","140.50","6.53M","0.57%"
"02/25/2026","140.54","144.70","145.60","139.81","17.86M","-2.61%"
"02/24/2026","144.31","143.50","144.72","142.24","8.25M","0.18%"
"02/23/2026","144.05","145.15","145.69","142.70","9.10M","0.95%"
"02/20/2026","142.70","140.45","144.33","139.70","11.92M","1.60%"
"02/19/2026","140.45","145.70","146.43","140.00","14.05M","-2.80%"
"02/18/2026","144.49","144.50","145.25","142.20","10.12M","0.10%"
"02/17/2026","144.35","142.54","145.00","141.58","11.02M","1.11%"
"02/16/2026","142.77","140.50","143.65","139.01","17.31M","2.05%"
"02/13/2026","139.90","149.20","149.30","139.10","38.68M","-6.60%"
