"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","512.95","521.50","530.50","509.00","4.92M","-1.03%"
"12-03-2026","518.30","484.00","528.00","484.00","19.32M","6.21%"
"11-03-2026","488.00","489.00","498.70","486.00","1.22M","-0.14%"
"10-03-2026","488.70","480.00","491.05","478.95","1.80M","2.05%"
"09-03-2026","478.90","475.50","480.45","465.50","2.46M","-1.90%"
"06-03-2026","488.20","476.90","499.50","476.90","4.02M","1.81%"
"05-03-2026","479.50","469.90","482.05","469.65","1.47M","2.45%"
"04-03-2026","468.05","473.00","477.20","464.50","1.51M","-2.75%"
"02-03-2026","481.30","468.00","486.85","466.05","2.51M","-1.32%"
"27-02-2026","487.75","498.00","498.10","484.35","1.31M","-2.19%"
"26-02-2026","498.65","491.90","506.25","490.70","3.46M","1.75%"
"25-02-2026","490.05","490.25","495.80","487.00","1.38M","-0.04%"
"24-02-2026","490.25","485.00","493.00","479.75","1.39M","0.79%"
"23-02-2026","486.40","495.00","498.95","484.35","1.91M","-1.53%"
"20-02-2026","493.95","478.65","495.00","477.65","3.14M","2.88%"
"19-02-2026","480.10","486.25","495.90","477.40","4.01M","-1.26%"
"18-02-2026","486.25","487.00","490.85","484.00","1.37M","-0.23%"
"17-02-2026","487.35","489.75","490.70","484.45","2.08M","-0.53%"
"16-02-2026","489.95","471.50","492.25","470.00","2.23M","3.21%"
"13-02-2026","474.70","479.00","479.00","468.85","1.17M","-1.00%"
