"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","74.98","75.20","76.48","74.35","26.76M","0.27%"
"12-03-2026","74.78","73.00","76.36","72.76","16.80M","1.80%"
"11-03-2026","73.46","73.20","74.60","73.01","12.03M","0.58%"
"10-03-2026","73.04","73.40","74.32","72.79","11.92M","0.00%"
"09-03-2026","73.04","73.00","73.40","72.09","22.23M","-1.54%"
"06-03-2026","74.18","74.00","75.25","73.65","14.27M","0.04%"
"05-03-2026","74.15","72.35","74.50","72.35","15.87M","2.66%"
"04-03-2026","72.23","72.48","73.05","71.62","19.06M","-1.24%"
"02-03-2026","73.14","72.76","75.40","72.40","25.72M","-2.91%"
"27-02-2026","75.33","75.73","76.48","75.02","21.57M","-0.53%"
"26-02-2026","75.73","75.60","76.13","74.90","22.63M","0.08%"
"25-02-2026","75.67","75.69","76.30","74.75","8.29M","-0.13%"
"24-02-2026","75.77","73.98","76.00","73.70","13.92M","2.28%"
"23-02-2026","74.08","75.14","75.14","73.71","11.12M","-0.52%"
"20-02-2026","74.47","74.49","75.00","73.95","13.67M","0.15%"
"19-02-2026","74.36","76.34","76.73","74.10","12.52M","-2.59%"
"18-02-2026","76.34","76.72","76.88","75.93","10.76M","-0.48%"
"17-02-2026","76.71","76.99","77.31","76.46","10.23M","-0.43%"
"16-02-2026","77.04","75.47","77.44","74.65","10.92M","2.08%"
"13-02-2026","75.47","76.05","76.12","75.20","10.07M","-1.35%"
"12-02-2026","76.50","77.40","77.60","76.16","13.31M","-1.39%"
"11-02-2026","77.58","77.29","77.76","76.36","13.91M","0.82%"
"10-02-2026","76.95","78.00","78.14","76.81","25.05M","-2.47%"
"09-02-2026","78.90","80.29","80.29","78.04","15.31M","-0.67%"
"06-02-2026","79.43","80.00","80.40","78.56","9.05M","-0.71%"
"05-02-2026","80.00","77.60","80.37","76.20","26.50M","1.94%"
"04-02-2026","78.48","78.49","80.49","77.95","17.62M","-0.01%"
"03-02-2026","78.49","79.18","80.50","77.50","18.08M","0.90%"
"02-02-2026","77.79","76.47","78.24","74.93","12.29M","1.03%"
"01-02-2026","77.00","78.29","79.16","76.07","8.74M","-1.53%"
"30-01-2026","78.20","78.50","78.89","77.20","14.58M","-1.24%"
"29-01-2026","79.18","79.20","80.20","78.37","11.91M","0.37%"
"28-01-2026","78.89","75.30","79.09","75.28","10.99M","4.99%"
"27-01-2026","75.14","75.43","76.17","74.36","40.38M","-0.15%"
"23-01-2026","75.25","78.05","78.06","75.04","11.19M","-2.84%"
"22-01-2026","77.45","76.97","77.95","76.56","10.03M","1.75%"
"21-01-2026","76.12","77.00","77.67","75.94","17.09M","-1.87%"
"20-01-2026","77.57","79.10","79.20","77.14","11.44M","-2.33%"
"19-01-2026","79.42","79.58","81.67","78.95","9.02M","-1.00%"
"16-01-2026","80.22","81.29","81.54","79.46","62.99M","-1.32%"
"14-01-2026","81.29","80.69","82.22","80.51","9.34M","-0.16%"
"13-01-2026","81.42","82.89","83.34","80.75","11.94M","-1.67%"
"12-01-2026","82.80","82.38","82.99","80.26","15.10M","0.45%"
"09-01-2026","82.43","82.20","83.69","82.03","21.16M","0.32%"
"08-01-2026","82.17","83.80","84.23","81.72","11.54M","-1.78%"
"07-01-2026","83.66","83.10","83.88","82.73","12.48M","0.16%"
"06-01-2026","83.53","83.06","83.95","82.78","11.60M","-0.16%"
"05-01-2026","83.66","84.00","84.68","82.91","19.83M","0.05%"
"02-01-2026","83.62","79.56","83.93","79.50","32.43M","5.10%"
"01-01-2026","79.56","79.06","80.23","79.06","6.86M","0.43%"
"31-12-2025","79.22","78.48","79.90","78.32","11.50M","0.81%"
"30-12-2025","78.58","76.80","78.75","76.80","17.15M","2.33%"
"29-12-2025","76.79","78.36","78.36","76.50","7.88M","-2.00%"
"26-12-2025","78.36","77.42","79.17","77.28","9.06M","0.71%"
"24-12-2025","77.81","78.44","78.70","77.63","5.72M","-0.54%"
"23-12-2025","78.23","78.00","78.52","77.36","5.92M","0.72%"
"22-12-2025","77.67","76.61","78.04","76.50","8.76M","1.38%"
"19-12-2025","76.61","75.12","76.75","74.75","8.35M","2.09%"
"18-12-2025","75.04","75.00","75.25","74.40","6.17M","-0.46%"
"17-12-2025","75.39","76.00","76.00","75.00","5.72M","-0.82%"
"16-12-2025","76.01","77.14","77.20","75.51","5.98M","-1.55%"
"15-12-2025","77.21","76.90","77.34","76.52","3.58M","0.10%"
"12-12-2025","77.13","76.81","77.36","76.61","5.17M","0.57%"
"11-12-2025","76.69","76.60","77.00","75.56","8.18M","-0.23%"
"10-12-2025","76.87","76.47","79.31","76.26","11.48M","0.52%"
"09-12-2025","76.47","76.20","76.63","75.05","8.07M","0.05%"
"08-12-2025","76.43","77.05","77.30","76.05","9.18M","-0.83%"
"05-12-2025","77.07","76.82","77.20","76.64","4.70M","0.23%"
"04-12-2025","76.89","76.80","77.42","76.62","5.54M","0.08%"
"03-12-2025","76.83","77.40","77.59","76.05","6.59M","-0.58%"
"02-12-2025","77.28","77.35","77.49","76.70","8.54M","-0.03%"
"01-12-2025","77.30","76.31","77.59","76.02","10.20M","0.73%"
"28-11-2025","76.74","76.95","77.01","76.36","5.09M","-0.27%"
"27-11-2025","76.95","77.51","77.85","76.72","8.61M","-0.62%"
"26-11-2025","77.43","77.23","77.97","76.61","12.03M","0.26%"
"25-11-2025","77.23","77.10","77.98","76.60","13.34M","0.35%"
"24-11-2025","76.96","78.82","78.89","75.93","26.74M","-2.36%"
"21-11-2025","78.82","80.00","80.12","78.65","7.15M","-1.62%"
"20-11-2025","80.12","80.59","81.17","80.00","6.84M","0.09%"
"19-11-2025","80.05","80.53","80.68","79.64","11.02M","-0.60%"
"18-11-2025","80.53","81.59","81.59","80.10","9.47M","-0.89%"
"17-11-2025","81.25","80.54","81.50","80.41","7.83M","1.18%"
"14-11-2025","80.30","81.51","81.60","80.00","14.29M","-1.42%"
"13-11-2025","81.46","81.91","82.28","81.31","6.50M","-0.63%"
"12-11-2025","81.98","82.10","82.85","81.26","9.27M","0.11%"
"11-11-2025","81.89","82.31","82.75","80.90","8.77M","-0.51%"
"10-11-2025","82.31","80.90","82.72","80.68","10.24M","1.02%"
"07-11-2025","81.48","82.50","82.72","80.25","21.86M","-1.65%"
"06-11-2025","82.85","84.05","84.55","81.72","15.88M","-1.56%"
"04-11-2025","84.16","85.22","85.33","83.87","8.23M","-1.37%"
"03-11-2025","85.33","84.99","85.70","84.57","6.04M","0.58%"
"31-10-2025","84.84","85.93","86.10","84.71","9.45M","-1.52%"
"30-10-2025","86.15","87.14","87.23","85.71","7.40M","-0.92%"
"29-10-2025","86.95","85.00","87.09","84.78","17.06M","2.74%"
"28-10-2025","84.63","85.04","85.42","84.49","9.53M","-0.46%"
"27-10-2025","85.02","85.25","85.43","84.80","6.94M","0.27%"
"24-10-2025","84.79","85.71","86.80","84.61","16.91M","-1.20%"
"23-10-2025","85.82","86.06","87.29","85.48","17.40M","-0.61%"
"21-10-2025","86.35","86.70","87.00","86.15","1.48M","-0.24%"
"20-10-2025","86.56","86.99","87.50","86.40","13.30M","-0.21%"
"17-10-2025","86.74","86.91","87.50","85.90","30.39M","-0.24%"
"16-10-2025","86.95","87.13","87.35","86.10","10.55M","-0.10%"
"15-10-2025","87.04","85.50","87.81","85.05","12.35M","1.97%"
"14-10-2025","85.36","87.00","87.68","85.10","20.52M","-1.26%"
"13-10-2025","86.45","86.25","87.79","85.20","15.29M","-0.56%"
"10-10-2025","86.94","86.67","87.71","86.30","7.18M","0.31%"
"09-10-2025","86.67","85.50","88.12","85.21","13.09M","1.44%"
"08-10-2025","85.44","86.60","86.75","84.99","8.00M","-1.18%"
"07-10-2025","86.46","86.48","87.28","86.20","10.53M","-0.17%"
"06-10-2025","86.61","86.93","87.09","86.06","6.46M","-0.37%"
"03-10-2025","86.93","86.50","87.15","85.60","8.66M","0.65%"
"01-10-2025","86.37","86.30","87.00","86.05","7.40M","0.06%"
"30-09-2025","86.32","86.29","86.48","85.66","10.45M","0.52%"
"29-09-2025","85.87","83.70","86.14","83.63","20.05M","2.67%"
"26-09-2025","83.64","86.43","86.50","83.51","8.13M","-3.23%"
"25-09-2025","86.43","86.31","87.96","86.28","15.16M","0.16%"
"24-09-2025","86.29","86.55","87.60","85.96","11.32M","-0.39%"
"23-09-2025","86.63","87.85","88.30","86.29","11.79M","-1.25%"
"22-09-2025","87.73","87.80","88.60","87.14","10.26M","-0.10%"
"19-09-2025","87.82","87.53","89.22","87.30","25.19M","0.84%"
"18-09-2025","87.09","87.50","88.69","86.60","16.44M","-0.14%"
"17-09-2025","87.21","88.30","88.43","86.76","15.17M","-1.58%"
"16-09-2025","88.61","86.79","88.87","86.75","26.87M","2.31%"
"15-09-2025","86.61","83.92","86.79","83.50","26.20M","3.72%"
"12-09-2025","83.50","82.50","83.60","82.32","16.38M","1.48%"
"11-09-2025","82.28","79.96","82.65","79.82","30.02M","3.42%"
"10-09-2025","79.56","78.65","79.80","78.63","10.94M","1.26%"
"09-09-2025","78.57","79.50","80.07","78.08","9.73M","-0.09%"
"08-09-2025","78.64","78.00","78.94","77.63","5.61M","1.05%"
"05-09-2025","77.82","78.40","78.55","77.10","7.03M","-0.35%"
"04-09-2025","78.09","79.76","79.99","78.00","7.04M","-1.63%"
"03-09-2025","79.38","79.50","79.94","79.20","4.90M","-0.23%"
"02-09-2025","79.56","78.90","79.89","78.32","7.46M","1.27%"
"01-09-2025","78.56","78.00","78.97","77.70","7.40M","1.72%"
"29-08-2025","77.23","78.34","78.40","76.61","13.51M","-1.42%"
"28-08-2025","78.34","79.99","80.16","78.17","11.70M","-1.88%"
"26-08-2025","79.84","79.52","80.34","78.36","20.57M","0.30%"
"25-08-2025","79.60","80.84","81.09","79.48","12.47M","-1.38%"
"22-08-2025","80.71","82.03","82.03","80.61","8.67M","-1.37%"
"21-08-2025","81.83","82.85","83.37","81.73","6.33M","-1.12%"
"20-08-2025","82.76","82.14","83.55","81.84","11.24M","0.82%"
"19-08-2025","82.09","82.90","82.97","81.80","12.46M","-0.83%"
"18-08-2025","82.78","83.00","83.50","81.94","7.95M","0.56%"
"14-08-2025","82.32","84.90","84.98","81.83","13.99M","-3.28%"
"13-08-2025","85.11","84.40","85.86","83.80","11.68M","1.43%"
"12-08-2025","83.91","83.75","84.19","83.18","5.97M","0.55%"
"11-08-2025","83.45","82.45","83.90","81.77","10.07M","2.04%"
"08-08-2025","81.78","83.00","83.58","81.50","6.61M","-1.95%"
"07-08-2025","83.41","83.55","83.88","81.91","5.84M","-0.69%"
"06-08-2025","83.99","85.50","85.60","83.69","5.79M","-1.45%"
"05-08-2025","85.23","83.70","85.45","83.50","10.38M","2.08%"
"04-08-2025","83.49","82.94","83.75","82.44","5.55M","0.30%"
"01-08-2025","83.24","83.25","84.20","82.45","10.66M","-0.01%"
"31-07-2025","83.25","83.80","83.90","82.91","7.42M","-1.43%"
"30-07-2025","84.46","84.34","84.69","83.55","6.83M","0.50%"
"29-07-2025","84.04","83.70","84.35","83.12","7.88M","0.41%"
"28-07-2025","83.70","83.79","84.83","83.20","8.20M","0.26%"
"25-07-2025","83.48","85.80","86.05","83.14","11.50M","-2.75%"
"24-07-2025","85.84","86.58","86.99","85.25","8.02M","-0.74%"
"23-07-2025","86.48","86.69","87.34","86.15","8.00M","0.17%"
"22-07-2025","86.33","87.53","87.84","86.20","6.74M","-1.37%"
"21-07-2025","87.53","87.10","88.09","86.11","6.26M","0.57%"
"18-07-2025","87.03","87.80","87.84","86.43","15.91M","-0.92%"
"17-07-2025","87.84","88.60","88.77","87.42","7.15M","-0.84%"
"16-07-2025","88.58","88.15","88.95","87.88","6.84M","0.54%"
"15-07-2025","88.10","89.15","89.50","87.70","12.52M","-0.77%"
"14-07-2025","88.78","88.18","89.75","87.57","17.31M","0.83%"
"11-07-2025","88.05","87.52","88.68","87.31","14.33M","0.61%"
"10-07-2025","87.52","88.29","88.68","87.22","16.65M","-0.87%"
"09-07-2025","88.29","88.50","88.78","87.81","16.84M","0.38%"
"08-07-2025","87.96","84.87","88.20","84.72","40.39M","4.17%"
"07-07-2025","84.44","85.00","85.30","84.30","7.40M","-0.71%"
"04-07-2025","85.04","85.02","85.65","84.31","6.99M","0.08%"
"03-07-2025","84.97","85.05","85.59","84.75","6.18M","0.31%"
"02-07-2025","84.71","85.50","86.12","84.01","10.14M","-0.89%"
"01-07-2025","85.47","86.10","86.30","85.10","7.52M","-0.40%"
"30-06-2025","85.81","85.97","86.30","85.20","9.45M","0.30%"
"27-06-2025","85.55","85.80","86.35","85.25","15.97M","0.20%"
"26-06-2025","85.38","85.35","85.66","83.91","10.45M","0.48%"
"25-06-2025","84.97","85.88","86.15","84.65","9.16M","-0.56%"
"24-06-2025","85.45","86.21","86.58","85.00","20.97M","0.28%"
"23-06-2025","85.21","81.39","85.75","81.11","19.71M","3.52%"
"20-06-2025","82.31","80.87","82.75","80.75","19.73M","1.78%"
"19-06-2025","80.87","82.55","83.44","80.58","11.06M","-2.01%"
"18-06-2025","82.53","85.00","85.05","82.10","15.73M","-2.99%"
"17-06-2025","85.07","86.70","86.94","84.96","8.29M","-1.65%"
"16-06-2025","86.50","86.06","86.75","85.00","8.32M","0.51%"
"13-06-2025","86.06","85.05","86.80","85.05","11.36M","-1.78%"
"12-06-2025","87.62","90.45","90.64","87.30","12.10M","-2.95%"
"11-06-2025","90.28","89.90","91.30","89.50","13.73M","0.64%"
"10-06-2025","89.71","91.50","91.50","89.43","13.95M","-1.34%"
"09-06-2025","90.93","90.30","92.34","90.17","31.31M","1.81%"
"06-06-2025","89.31","88.06","89.63","87.81","17.97M","1.92%"
"05-06-2025","87.63","87.62","89.20","87.15","21.14M","0.60%"
"04-06-2025","87.11","85.48","87.35","84.68","11.80M","2.37%"
"03-06-2025","85.09","87.32","87.72","84.85","11.51M","-2.55%"
"02-06-2025","87.32","87.37","87.79","86.64","9.04M","-0.10%"
"30-05-2025","87.41","87.01","87.81","85.92","34.57M","0.38%"
"29-05-2025","87.08","87.15","87.30","86.48","8.77M","0.39%"
"28-05-2025","86.74","87.50","88.30","86.60","10.61M","-0.55%"
"27-05-2025","87.22","87.06","87.40","86.50","10.62M","0.18%"
"26-05-2025","87.06","86.29","87.28","85.65","13.86M","1.27%"
"23-05-2025","85.97","88.00","88.05","85.75","15.13M","-1.75%"
"22-05-2025","87.50","88.00","89.39","87.00","24.02M","-0.14%"
"21-05-2025","87.62","88.90","89.25","86.25","33.94M","1.17%"
"20-05-2025","86.61","89.46","89.94","86.16","20.66M","-2.67%"
"19-05-2025","88.99","90.18","90.65","88.84","24.39M","-0.80%"
"16-05-2025","89.71","87.08","90.78","87.08","40.21M","3.17%"
"15-05-2025","86.95","86.30","87.44","85.81","17.64M","1.15%"
"14-05-2025","85.96","83.78","86.27","83.40","18.76M","2.91%"
"13-05-2025","83.53","83.30","84.22","82.60","20.44M","0.28%"
"12-05-2025","83.30","81.59","83.90","81.40","24.52M","6.84%"
"09-05-2025","77.97","77.60","79.23","76.25","32.19M","-2.78%"
"08-05-2025","80.20","84.50","84.50","79.50","13.54M","-3.85%"
"07-05-2025","83.41","80.08","83.80","80.01","14.71M","2.08%"
"06-05-2025","81.71","84.80","84.88","80.70","14.84M","-3.45%"
"05-05-2025","84.63","85.90","85.92","84.15","10.85M","-0.42%"
"02-05-2025","84.99","85.79","87.00","84.75","10.09M","-0.93%"
"30-04-2025","85.79","86.94","87.35","85.20","12.43M","-0.84%"
"29-04-2025","86.52","87.70","88.13","86.10","9.53M","-0.29%"
"28-04-2025","86.77","86.04","87.26","85.70","13.09M","0.81%"
"25-04-2025","86.07","89.60","89.88","85.12","22.58M","-3.38%"
"24-04-2025","89.08","90.39","91.16","88.92","20.70M","-1.43%"
"23-04-2025","90.37","90.50","91.49","88.67","22.92M","0.55%"
"22-04-2025","89.88","88.39","90.88","87.25","34.35M","2.47%"
"21-04-2025","87.71","85.00","88.25","84.85","20.93M","3.21%"
"17-04-2025","84.98","85.40","85.95","84.86","16.63M","-0.40%"
"16-04-2025","85.32","85.21","86.26","84.84","20.79M","-0.12%"
"15-04-2025","85.42","85.20","85.80","84.70","18.82M","1.45%"
"11-04-2025","84.20","85.20","85.90","83.20","24.70M","-0.24%"
"09-04-2025","84.40","83.15","85.20","82.56","23.15M","0.98%"
"08-04-2025","83.58","84.20","84.64","81.87","13.82M","1.21%"
"07-04-2025","82.58","76.50","83.03","75.75","31.78M","-0.55%"
"04-04-2025","83.04","84.50","84.90","82.71","20.96M","-1.76%"
"03-04-2025","84.53","83.00","84.85","82.65","15.23M","1.00%"
"02-04-2025","83.69","82.20","84.28","80.81","21.71M","1.89%"
"01-04-2025","82.14","82.08","83.49","81.54","17.41M","-0.07%"
"28-03-2025","82.20","82.45","86.94","82.00","72.37M","1.13%"
"27-03-2025","81.28","80.60","82.27","80.00","84.93M","0.42%"
"26-03-2025","80.94","81.45","82.85","80.55","20.09M","-0.46%"
"25-03-2025","81.31","84.30","84.65","80.75","19.83M","-2.76%"
"24-03-2025","83.62","83.29","84.99","83.19","19.87M","1.28%"
"21-03-2025","82.56","80.20","84.09","80.02","48.09M","3.15%"
"20-03-2025","80.04","81.38","81.80","79.67","12.44M","-0.20%"
"19-03-2025","80.20","79.30","80.60","79.06","10.76M","1.35%"
"18-03-2025","79.13","78.75","79.35","77.88","12.15M","1.02%"
"17-03-2025","78.33","77.60","79.20","77.60","11.55M","0.98%"
"13-03-2025","77.57","78.80","79.00","77.30","11.51M","-1.01%"
"12-03-2025","78.36","77.00","78.50","76.69","15.66M","2.32%"
"11-03-2025","76.58","75.00","76.95","74.32","12.56M","1.03%"
"10-03-2025","75.80","77.40","78.50","75.31","11.59M","-1.60%"
"07-03-2025","77.03","77.41","78.15","76.63","10.95M","-0.62%"
"06-03-2025","77.51","77.00","77.82","76.50","10.90M","1.52%"
"05-03-2025","76.35","74.00","76.56","74.00","15.17M","3.78%"
"04-03-2025","73.57","72.98","74.40","72.43","15.92M","0.27%"
"03-03-2025","73.37","73.59","74.24","71.50","17.36M","0.64%"
"28-02-2025","72.90","73.50","73.86","71.00","28.44M","-1.90%"
"27-02-2025","74.31","76.35","76.99","73.51","19.82M","-2.24%"
"25-02-2025","76.01","77.31","78.80","75.90","20.74M","-1.59%"
"24-02-2025","77.24","78.90","78.95","77.05","17.40M","-3.32%"
"21-02-2025","79.89","80.10","82.16","79.53","41.63M","0.11%"
"20-02-2025","79.80","75.50","80.41","75.00","50.83M","6.94%"
"19-02-2025","74.62","72.95","74.83","72.15","12.06M","2.21%"
"18-02-2025","73.01","73.08","73.41","71.14","13.60M","-0.27%"
"17-02-2025","73.21","72.50","73.60","71.10","12.67M","-0.11%"
"14-02-2025","73.29","75.51","75.81","72.35","11.13M","-2.67%"
"13-02-2025","75.30","72.90","76.25","72.80","14.45M","1.62%"
"12-02-2025","74.10","74.02","74.60","71.00","19.07M","-0.39%"
"11-02-2025","74.39","76.50","76.84","73.87","14.33M","-2.34%"
"10-02-2025","76.17","76.00","78.86","74.91","17.87M","-1.63%"
"07-02-2025","77.43","77.70","78.49","76.90","10.98M","-0.23%"
"06-02-2025","77.61","80.00","80.84","77.25","15.12M","-2.41%"
"05-02-2025","79.53","78.80","80.13","78.54","12.63M","0.79%"
"04-02-2025","78.91","77.71","79.15","76.75","13.30M","2.84%"
"03-02-2025","76.73","77.13","77.62","74.53","25.41M","-2.68%"
"01-02-2025","78.84","82.00","82.60","77.24","27.54M","-2.12%"
"31-01-2025","80.55","75.70","82.10","75.16","22.77M","6.73%"
"30-01-2025","75.47","74.90","76.75","74.23","17.71M","1.19%"
"29-01-2025","74.58","73.10","75.63","73.10","13.91M","2.04%"
"28-01-2025","73.09","75.00","76.07","72.43","15.34M","-2.25%"
"27-01-2025","74.77","76.50","76.68","74.10","12.04M","-2.74%"
"24-01-2025","76.88","78.40","78.81","76.75","8.33M","-2.01%"
"23-01-2025","78.46","77.50","79.63","77.06","7.90M","0.90%"
