"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","98.15","98.30","104.73","94.05","177.68M","0.51%"
"03/12/2026","97.65","86.50","103.20","85.23","165.35M","12.59%"
"03/11/2026","86.73","87.20","88.80","86.32","4.28M","0.02%"
"03/10/2026","86.71","87.90","88.00","86.40","1.78M","0.43%"
"03/09/2026","86.34","86.00","87.00","85.00","2.55M","-1.82%"
"03/06/2026","87.94","87.00","88.80","86.80","1.63M","0.70%"
"03/05/2026","87.33","85.98","87.89","85.68","1.85M","1.68%"
"03/04/2026","85.89","87.00","87.00","85.31","2.44M","-2.10%"
"03/02/2026","87.73","84.19","88.25","84.00","4.66M","-2.67%"
"02/27/2026","90.14","90.23","90.39","89.25","1.80M","-0.06%"
"02/26/2026","90.19","90.67","90.75","89.36","1.59M","-0.03%"
"02/25/2026","90.22","89.50","91.09","89.50","2.49M","0.36%"
"02/24/2026","89.90","90.00","90.70","89.15","2.77M","-0.49%"
"02/23/2026","90.34","90.29","91.10","89.60","2.33M","0.06%"
"02/20/2026","90.29","90.26","90.61","89.52","1.86M","-0.24%"
"02/19/2026","90.51","89.73","90.96","88.87","4.96M","1.08%"
"02/18/2026","89.54","90.00","90.15","89.08","1.66M","-0.41%"
"02/17/2026","89.91","89.50","90.45","89.20","2.47M","0.42%"
"02/16/2026","89.53","88.50","89.70","88.00","1.91M","0.58%"
"02/13/2026","89.01","88.75","89.28","87.42","2.36M","-0.08%"
"02/12/2026","89.08","88.99","89.19","87.88","1.77M","0.10%"
"02/11/2026","88.99","89.50","89.70","88.30","2.03M","-0.54%"
"02/10/2026","89.47","88.80","89.83","88.22","3.98M","1.66%"
"02/09/2026","88.01","87.95","88.15","86.60","3.21M","1.04%"
"02/06/2026","87.10","86.20","87.48","85.18","2.73M","0.82%"
"02/05/2026","86.39","88.00","88.05","86.25","2.29M","-1.36%"
"02/04/2026","87.58","87.21","87.83","86.61","4.63M","0.77%"
"02/03/2026","86.91","88.90","88.90","85.91","5.26M","2.03%"
"02/02/2026","85.18","87.01","87.05","84.05","4.96M","-1.30%"
"02/01/2026","86.30","87.69","90.60","86.00","12.77M","0.15%"
"01/30/2026","86.17","90.34","90.72","86.00","15.00M","-6.67%"
"01/29/2026","92.33","93.85","94.00","91.94","2.42M","-1.33%"
"01/28/2026","93.57","91.00","93.95","90.30","3.41M","3.90%"
"01/27/2026","90.06","90.30","90.96","88.77","2.90M","-0.27%"
"01/23/2026","90.30","92.50","92.50","89.76","2.39M","-0.95%"
"01/22/2026","91.17","89.72","91.49","89.72","2.12M","2.04%"
"01/21/2026","89.35","90.00","90.78","88.51","4.03M","-1.37%"
