"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","384.45","391.85","394.50","383.20","27.11M","-1.56%"
"12-03-2026","390.55","379.00","392.40","375.65","23.85M","2.80%"
"11-03-2026","379.90","377.50","383.90","376.45","9.96M","0.69%"
"10-03-2026","377.30","385.00","385.45","374.85","10.88M","0.28%"
"09-03-2026","376.25","373.00","379.00","371.40","11.29M","-1.14%"
"06-03-2026","380.60","377.00","385.55","374.65","14.94M","0.67%"
"05-03-2026","378.05","366.95","379.90","366.60","16.16M","3.35%"
"04-03-2026","365.80","370.75","373.85","364.10","11.43M","-3.11%"
"02-03-2026","377.55","365.00","378.95","365.00","14.73M","-1.14%"
"27-02-2026","381.90","381.00","385.20","380.15","11.55M","0.00%"
"26-02-2026","381.90","385.00","385.85","378.40","10.72M","-0.78%"
"25-02-2026","384.90","382.75","388.55","382.70","12.75M","0.56%"
"24-02-2026","382.75","374.95","385.00","373.55","20.77M","1.94%"
"23-02-2026","375.45","374.00","376.50","372.15","16.14M","0.67%"
"20-02-2026","372.95","362.80","373.65","362.70","16.74M","2.68%"
"19-02-2026","363.20","367.00","370.90","362.20","5.38M","-1.41%"
"18-02-2026","368.40","368.45","370.70","367.40","4.87M","0.00%"
"17-02-2026","368.40","368.75","369.50","366.05","4.44M","-0.19%"
"16-02-2026","369.10","362.60","369.65","362.50","6.29M","1.68%"
"13-02-2026","363.00","367.55","368.00","362.40","7.11M","-1.43%"
