"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","394.95","402.15","406.05","393.45","9.07M","-1.79%"
"03/12/2026","402.15","384.00","407.35","383.45","25.01M","4.25%"
"03/11/2026","385.75","383.00","392.50","382.35","9.68M","1.17%"
"03/10/2026","381.30","375.90","384.15","375.90","7.68M","2.25%"
"03/09/2026","372.90","366.50","374.20","365.15","5.06M","-0.69%"
"03/06/2026","375.50","375.00","385.25","373.10","3.75M","-0.36%"
"03/05/2026","376.85","366.25","378.50","366.25","5.98M","3.01%"
"03/04/2026","365.85","362.30","369.90","362.10","5.71M","-0.68%"
"03/02/2026","368.35","356.00","373.95","356.00","5.65M","-2.44%"
"02/27/2026","377.55","380.40","381.50","376.25","3.20M","-0.75%"
"02/26/2026","380.40","380.80","385.40","378.25","3.19M","-0.22%"
"02/25/2026","381.25","380.00","383.65","376.50","3.12M","0.39%"
"02/24/2026","379.75","377.00","380.45","372.50","3.01M","0.13%"
"02/23/2026","379.25","379.00","381.55","376.80","3.23M","0.33%"
"02/20/2026","378.00","369.30","379.20","369.25","2.84M","2.36%"
"02/19/2026","369.30","379.50","381.75","368.30","3.20M","-2.71%"
"02/18/2026","379.60","378.40","382.15","377.95","2.15M","0.32%"
"02/17/2026","378.40","381.40","384.10","377.00","3.80M","-0.97%"
"02/16/2026","382.10","372.00","384.25","370.90","3.88M","2.14%"
"02/13/2026","374.10","377.00","377.80","370.65","4.44M","-1.69%"
