"Date","Price","Open","High","Low","Vol.","Change %"
"03/13/2026","1,461.30","1,505.00","1,523.60","1,454.80","357.82K","-2.97%"
"03/12/2026","1,506.00","1,435.00","1,517.40","1,432.70","916.86K","4.66%"
"03/11/2026","1,439.00","1,451.50","1,478.60","1,434.00","282.14K","-0.86%"
"03/10/2026","1,451.50","1,440.00","1,464.20","1,440.00","250.24K","1.58%"
"03/09/2026","1,428.90","1,451.00","1,454.20","1,333.20","566.85K","-3.54%"
"03/06/2026","1,481.30","1,495.00","1,505.90","1,477.30","275.27K","-1.50%"
"03/05/2026","1,503.90","1,479.90","1,511.80","1,476.00","486.22K","1.90%"
"03/04/2026","1,475.90","1,521.00","1,522.10","1,466.20","1.68M","-5.08%"
"03/02/2026","1,554.90","1,491.00","1,569.10","1,491.00","854.15K","-0.73%"
"02/27/2026","1,566.40","1,566.00","1,605.00","1,561.00","881.72K","0.08%"
"02/26/2026","1,565.10","1,564.00","1,579.00","1,547.50","725.48K","-0.04%"
"02/25/2026","1,565.70","1,546.90","1,569.10","1,542.20","499.56K","1.55%"
"02/24/2026","1,541.80","1,535.40","1,569.00","1,525.20","902.71K","0.35%"
"02/23/2026","1,536.40","1,540.00","1,552.80","1,525.00","618.80K","0.51%"
"02/20/2026","1,528.60","1,492.60","1,539.50","1,482.00","1.25M","2.41%"
"02/19/2026","1,492.60","1,521.00","1,544.90","1,485.90","521.70K","-2.31%"
"02/18/2026","1,527.90","1,482.10","1,535.00","1,473.60","1.03M","2.79%"
"02/17/2026","1,486.40","1,479.30","1,493.50","1,462.70","550.91K","1.02%"
"02/16/2026","1,471.40","1,445.00","1,477.00","1,439.80","471.54K","0.60%"
"02/13/2026","1,462.60","1,451.00","1,468.30","1,428.00","621.00K","0.61%"
