"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","5,808.50","5,750.00","5,881.00","5,727.00","738.52K","0.37%"
"12-03-2026","5,787.00","5,910.00","5,910.00","5,713.00","996.75K","-2.27%"
"11-03-2026","5,921.50","5,981.00","5,995.00","5,900.00","298.62K","-0.78%"
"10-03-2026","5,968.00","5,911.00","5,995.00","5,911.00","283.33K","1.32%"
"09-03-2026","5,890.00","5,930.00","5,932.50","5,815.50","245.59K","-1.55%"
"06-03-2026","5,983.00","5,948.00","6,013.00","5,926.50","348.72K","0.34%"
"05-03-2026","5,963.00","5,899.00","5,997.50","5,851.00","211.18K","1.25%"
"04-03-2026","5,889.50","5,901.50","5,924.00","5,845.50","293.38K","-1.17%"
"02-03-2026","5,959.00","5,866.00","6,001.00","5,866.00","185.42K","-0.72%"
"27-02-2026","6,002.50","6,135.50","6,142.50","5,975.00","350.61K","-2.19%"
"26-02-2026","6,137.00","6,158.00","6,187.00","6,070.00","245.32K","-0.34%"
"25-02-2026","6,158.00","6,170.00","6,208.50","6,140.00","253.77K","-0.07%"
"24-02-2026","6,162.50","6,083.00","6,173.50","6,065.50","193.51K","0.65%"
"23-02-2026","6,122.50","6,136.00","6,150.00","6,042.00","225.25K","0.39%"
"20-02-2026","6,098.50","6,109.00","6,137.50","6,066.50","388.36K","-0.16%"
"19-02-2026","6,108.50","6,170.00","6,198.00","6,093.50","127.94K","-1.09%"
"18-02-2026","6,176.00","6,161.00","6,190.00","6,116.00","193.57K","0.50%"
"17-02-2026","6,145.50","6,106.00","6,154.50","6,066.50","164.22K","0.65%"
"16-02-2026","6,106.00","5,980.00","6,134.00","5,964.50","255.27K","2.10%"
"13-02-2026","5,980.50","6,080.00","6,098.50","5,968.00","159.82K","-1.99%"
"12-02-2026","6,102.00","6,057.00","6,148.00","6,020.00","456.00K","1.38%"
"11-02-2026","6,019.00","6,000.00","6,156.00","5,973.50","771.05K","2.48%"
"10-02-2026","5,873.50","5,874.00","5,893.50","5,847.00","276.90K","0.52%"
"09-02-2026","5,843.00","5,900.50","5,915.50","5,792.50","331.12K","-1.15%"
"06-02-2026","5,911.00","5,870.00","5,917.00","5,805.00","186.86K","0.69%"
"05-02-2026","5,870.50","5,855.00","5,946.50","5,844.50","275.29K","-0.14%"
"04-02-2026","5,879.00","5,899.50","5,965.00","5,855.00","160.34K","-0.05%"
"03-02-2026","5,882.00","5,920.00","5,975.50","5,821.00","349.83K","-0.11%"
"02-02-2026","5,888.50","5,733.00","5,899.00","5,697.50","279.21K","2.28%"
"01-02-2026","5,757.50","5,886.00","5,909.00","5,710.00","131.76K","-1.76%"
"30-01-2026","5,860.50","5,723.00","5,887.50","5,710.50","806.05K","2.40%"
"29-01-2026","5,723.00","5,711.50","5,733.00","5,693.00","343.24K","-0.44%"
"28-01-2026","5,748.50","5,924.00","5,924.00","5,680.00","442.62K","-2.34%"
"27-01-2026","5,886.00","5,839.00","5,925.00","5,805.00","1.04M","0.87%"
"23-01-2026","5,835.00","5,950.00","5,964.00","5,813.50","142.25K","-1.64%"
"22-01-2026","5,932.00","5,850.00","5,975.00","5,819.00","435.08K","2.23%"
"21-01-2026","5,802.50","5,870.00","5,899.00","5,787.00","662.86K","-1.39%"
"20-01-2026","5,884.00","5,943.50","5,994.50","5,862.00","350.07K","-1.00%"
"19-01-2026","5,943.50","5,898.50","5,970.00","5,879.00","145.92K","0.76%"
"16-01-2026","5,898.50","5,875.00","5,944.00","5,862.00","453.90K","-0.14%"
"14-01-2026","5,906.50","5,893.50","5,945.50","5,868.00","307.20K","-0.19%"
"13-01-2026","5,918.00","5,930.00","5,970.00","5,896.00","327.79K","-0.43%"
"12-01-2026","5,943.50","5,977.50","6,000.50","5,905.00","228.80K","-0.57%"
"09-01-2026","5,977.50","6,033.50","6,106.50","5,930.00","139.76K","-0.93%"
"08-01-2026","6,033.50","6,155.00","6,158.50","5,945.50","641.81K","-2.45%"
"07-01-2026","6,185.00","6,200.00","6,271.00","6,157.50","437.36K","0.91%"
"06-01-2026","6,129.50","6,040.00","6,142.50","5,948.50","300.11K","1.71%"
"05-01-2026","6,026.50","5,970.00","6,092.00","5,930.50","468.88K","0.70%"
"02-01-2026","5,984.50","6,009.50","6,033.00","5,941.50","265.70K","-0.42%"
"01-01-2026","6,009.50","6,031.00","6,063.00","5,992.00","138.48K","-0.36%"
"31-12-2025","6,031.00","6,013.00","6,070.00","5,995.00","179.58K","0.30%"
"30-12-2025","6,013.00","6,045.00","6,045.50","5,980.00","205.46K","-0.47%"
"29-12-2025","6,041.50","6,039.00","6,065.50","6,005.00","103.21K","0.15%"
"26-12-2025","6,032.50","6,006.50","6,069.50","6,002.00","65.99K","0.04%"
"24-12-2025","6,030.00","6,065.00","6,078.00","6,004.00","97.58K","-0.51%"
"23-12-2025","6,061.00","6,083.00","6,119.00","6,030.00","216.84K","-0.36%"
"22-12-2025","6,083.00","6,102.50","6,102.50","6,066.00","206.59K","-0.33%"
"19-12-2025","6,103.00","6,020.00","6,116.00","5,992.50","179.45K","1.03%"
"18-12-2025","6,040.50","6,132.00","6,134.50","6,012.50","199.07K","-0.91%"
"17-12-2025","6,096.00","6,060.00","6,116.00","6,051.00","298.26K","0.49%"
"16-12-2025","6,066.00","6,059.50","6,145.00","6,032.00","284.34K","0.46%"
"15-12-2025","6,038.00","5,915.50","6,055.00","5,857.00","244.12K","2.07%"
"12-12-2025","5,915.50","5,848.00","5,925.50","5,830.00","202.72K","1.17%"
"11-12-2025","5,847.00","5,840.00","5,895.00","5,813.00","115.48K","0.32%"
"10-12-2025","5,828.50","5,904.00","5,966.00","5,812.00","329.47K","-0.94%"
"09-12-2025","5,884.00","5,850.00","5,893.00","5,780.00","174.71K","0.62%"
"08-12-2025","5,847.50","5,961.00","5,985.00","5,825.00","185.41K","-1.90%"
"05-12-2025","5,961.00","5,855.00","5,974.00","5,838.50","244.41K","1.44%"
"04-12-2025","5,876.50","5,840.00","5,882.50","5,824.50","239.09K","0.89%"
"03-12-2025","5,824.50","5,908.00","5,908.00","5,812.00","308.05K","-0.87%"
"02-12-2025","5,875.50","5,792.00","5,894.00","5,792.00","290.99K","1.07%"
"01-12-2025","5,813.50","5,825.00","5,856.00","5,800.00","199.28K","-0.56%"
"28-11-2025","5,846.00","5,826.50","5,852.00","5,795.00","220.42K","0.33%"
"27-11-2025","5,826.50","5,890.50","5,900.00","5,815.50","156.68K","-0.92%"
"26-11-2025","5,880.50","5,865.00","5,904.50","5,843.00","157.29K","0.23%"
"25-11-2025","5,867.00","5,815.50","5,878.00","5,790.00","309.27K","0.89%"
"24-11-2025","5,815.50","5,815.00","5,849.00","5,785.00","696.67K","0.04%"
"21-11-2025","5,813.00","5,816.00","5,855.00","5,764.50","320.32K","-0.10%"
"20-11-2025","5,819.00","5,882.00","5,900.00","5,763.50","641.98K","-0.94%"
"19-11-2025","5,874.50","5,850.00","5,882.50","5,804.50","280.41K","0.59%"
"18-11-2025","5,840.00","5,818.00","5,862.00","5,805.50","262.20K","0.16%"
"17-11-2025","5,830.50","5,803.50","5,850.00","5,782.00","332.82K","0.47%"
"14-11-2025","5,803.50","5,851.00","5,851.00","5,750.00","415.36K","-0.82%"
"13-11-2025","5,851.50","5,902.00","5,918.00","5,835.50","361.32K","-0.48%"
"12-11-2025","5,880.00","5,950.50","5,970.00","5,841.00","609.99K","-1.18%"
"11-11-2025","5,950.50","5,950.00","5,965.00","5,723.00","2.15M","-2.98%"
"10-11-2025","6,133.50","6,190.00","6,261.50","6,121.50","395.49K","-0.39%"
"07-11-2025","6,157.50","5,970.00","6,169.50","5,913.50","715.81K","2.39%"
"06-11-2025","6,013.50","6,186.00","6,191.50","5,993.50","1.04M","2.05%"
"04-11-2025","5,892.50","5,820.50","5,920.00","5,805.00","363.44K","1.24%"
"03-11-2025","5,820.50","5,834.00","5,899.50","5,775.00","279.74K","-0.27%"
"31-10-2025","5,836.50","5,878.00","5,905.00","5,825.00","264.79K","-0.39%"
"30-10-2025","5,859.50","5,850.00","5,869.50","5,792.00","258.70K","0.12%"
"29-10-2025","5,852.50","5,894.00","5,906.00","5,840.00","119.74K","-0.15%"
"28-10-2025","5,861.00","5,939.00","5,939.00","5,806.50","392.98K","-0.86%"
"27-10-2025","5,912.00","6,053.00","6,053.00","5,811.50","433.15K","-2.33%"
"24-10-2025","6,053.00","6,068.00","6,069.50","5,987.00","82.08K","-0.25%"
"23-10-2025","6,068.00","6,075.00","6,145.00","6,049.00","255.61K","-0.12%"
"21-10-2025","6,075.00","6,108.00","6,108.00","6,050.00","9.16K","0.08%"
"20-10-2025","6,070.00","6,124.00","6,148.00","6,062.50","181.28K","-0.21%"
"17-10-2025","6,083.00","6,037.00","6,149.00","5,994.00","392.97K","0.95%"
"16-10-2025","6,025.50","5,876.00","6,040.50","5,858.00","364.31K","2.87%"
"15-10-2025","5,857.50","5,815.00","5,880.50","5,782.00","221.06K","0.98%"
"14-10-2025","5,800.50","5,869.00","5,885.00","5,794.00","176.23K","-1.05%"
"13-10-2025","5,862.00","5,871.50","5,953.00","5,848.00","238.22K","-0.16%"
