"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","1,957.20","1,969.70","1,995.00","1,951.00","660.97K","-0.94%"
"12-03-2026","1,975.80","2,040.00","2,040.00","1,962.20","836.49K","-3.88%"
"11-03-2026","2,055.60","2,198.30","2,198.30","2,046.00","1.66M","-6.49%"
"10-03-2026","2,198.30","2,160.00","2,210.70","2,159.20","368.74K","1.95%"
"09-03-2026","2,156.30","2,193.00","2,193.00","2,140.70","309.06K","-2.19%"
"06-03-2026","2,204.60","2,200.10","2,220.00","2,196.40","233.35K","0.18%"
"05-03-2026","2,200.60","2,191.00","2,212.20","2,167.00","258.08K","0.77%"
"04-03-2026","2,183.70","2,198.50","2,204.40","2,178.10","272.46K","-1.41%"
"02-03-2026","2,214.90","2,198.80","2,239.90","2,197.00","226.43K","-1.76%"
"27-02-2026","2,254.50","2,301.00","2,301.60","2,243.60","577.82K","-1.78%"
"26-02-2026","2,295.30","2,283.00","2,301.30","2,262.40","444.64K","1.10%"
"25-02-2026","2,270.40","2,240.10","2,274.80","2,234.10","822.58K","1.52%"
"24-02-2026","2,236.30","2,199.90","2,240.00","2,185.70","444.58K","1.84%"
"23-02-2026","2,196.00","2,197.90","2,211.30","2,190.20","183.76K","-0.09%"
"20-02-2026","2,197.90","2,167.20","2,211.80","2,167.20","349.13K","1.42%"
"19-02-2026","2,167.20","2,215.00","2,230.50","2,160.00","409.29K","-1.67%"
"18-02-2026","2,203.90","2,159.70","2,207.60","2,148.70","379.14K","2.46%"
"17-02-2026","2,151.00","2,118.60","2,161.00","2,118.60","179.26K","1.53%"
"16-02-2026","2,118.60","2,120.60","2,128.30","2,100.70","154.51K","-0.17%"
