"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","453.50","454.80","462.45","452.05","1.71M","-1.27%"
"12-03-2026","459.35","471.30","471.30","456.50","1.76M","-2.65%"
"11-03-2026","471.85","485.00","485.00","470.00","861.17K","-1.88%"
"10-03-2026","480.90","472.55","483.45","471.20","1.03M","3.04%"
"09-03-2026","466.70","472.55","473.05","464.20","858.31K","-2.49%"
"06-03-2026","478.60","486.00","486.15","477.50","1.19M","-1.91%"
"05-03-2026","487.90","494.00","494.00","482.00","972.51K","0.10%"
"04-03-2026","487.40","499.00","504.95","486.00","1.73M","-3.98%"
"02-03-2026","507.60","500.80","513.75","500.80","2.11M","-2.10%"
"27-02-2026","518.50","523.05","525.50","512.00","2.41M","-1.13%"
"26-02-2026","524.45","518.65","525.00","517.40","714.00K","1.12%"
"25-02-2026","518.65","521.25","523.75","516.50","3.02M","0.12%"
"24-02-2026","518.05","514.45","519.75","512.75","1.52M","0.72%"
"23-02-2026","514.35","509.00","515.95","507.30","1.04M","0.91%"
"20-02-2026","509.70","501.15","511.15","500.40","1.28M","1.60%"
"19-02-2026","501.65","510.60","514.30","500.05","923.01K","-1.75%"
"18-02-2026","510.60","525.00","525.30","503.50","4.36M","-1.20%"
"17-02-2026","516.80","511.10","519.05","511.10","963.14K","0.50%"
"16-02-2026","514.25","512.90","515.95","508.05","667.47K","0.35%"
