"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","1,577.40","1,601.00","1,606.00","1,567.00","958.39K","-2.41%"
"12-03-2026","1,616.30","1,638.90","1,649.60","1,600.60","762.88K","-2.11%"
"11-03-2026","1,651.10","1,688.00","1,698.00","1,644.30","1.10M","-1.45%"
"10-03-2026","1,675.40","1,664.00","1,689.00","1,649.60","1.60M","1.81%"
"09-03-2026","1,645.60","1,610.50","1,652.40","1,590.50","2.76M","-1.30%"
"06-03-2026","1,667.30","1,743.80","1,743.80","1,660.20","2.21M","-4.39%"
"05-03-2026","1,743.80","1,697.80","1,751.00","1,684.60","1.66M","2.96%"
"04-03-2026","1,693.70","1,698.00","1,710.00","1,647.00","2.00M","-2.30%"
"02-03-2026","1,733.50","1,665.70","1,740.20","1,665.70","2.41M","0.14%"
"27-02-2026","1,731.00","1,794.00","1,800.80","1,725.00","1.25M","-3.72%"
"26-02-2026","1,797.80","1,800.00","1,810.00","1,772.40","652.72K","0.00%"
"25-02-2026","1,797.80","1,789.40","1,819.00","1,780.00","1.08M","1.53%"
"24-02-2026","1,770.70","1,825.00","1,831.20","1,749.00","1.92M","-3.22%"
"23-02-2026","1,829.70","1,835.00","1,853.80","1,793.40","1.42M","0.22%"
"20-02-2026","1,825.70","1,812.20","1,834.90","1,789.20","1.04M","0.08%"
"19-02-2026","1,824.20","1,880.00","1,887.00","1,806.00","1.85M","-3.23%"
"18-02-2026","1,885.10","1,850.10","1,894.40","1,840.70","1.21M","2.17%"
"17-02-2026","1,845.10","1,830.00","1,851.00","1,815.20","746.64K","0.68%"
"16-02-2026","1,832.70","1,795.70","1,841.90","1,786.00","1.10M","1.44%"
