"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","2,160.00","2,136.00","2,191.90","2,120.30","2.30M","1.08%"
"12-03-2026","2,136.90","2,165.10","2,165.10","2,109.30","1.79M","-1.13%"
"11-03-2026","2,161.40","2,190.20","2,195.00","2,156.00","1.31M","-1.31%"
"10-03-2026","2,190.20","2,224.00","2,224.00","2,175.00","1.08M","-0.20%"
"09-03-2026","2,194.60","2,199.00","2,200.00","2,170.40","1.51M","-1.40%"
"06-03-2026","2,225.70","2,245.10","2,250.00","2,219.50","1.67M","-1.30%"
"05-03-2026","2,255.00","2,275.50","2,277.80","2,228.40","1.75M","-0.28%"
"04-03-2026","2,261.30","2,292.90","2,311.60","2,252.10","2.65M","-2.56%"
"02-03-2026","2,320.60","2,303.00","2,354.00","2,290.20","2.27M","-0.75%"
"27-02-2026","2,338.10","2,369.30","2,378.90","2,330.60","3.05M","-1.90%"
"26-02-2026","2,383.30","2,378.00","2,387.30","2,355.20","1.47M","0.35%"
"25-02-2026","2,374.90","2,368.90","2,380.00","2,349.00","1.16M","0.69%"
"24-02-2026","2,358.60","2,331.10","2,372.00","2,330.30","1.54M","0.56%"
"23-02-2026","2,345.40","2,325.00","2,350.00","2,320.80","1.30M","1.34%"
"20-02-2026","2,314.50","2,285.00","2,331.20","2,278.30","1.72M","1.54%"
"19-02-2026","2,279.30","2,336.00","2,337.40","2,275.60","940.18K","-1.90%"
"18-02-2026","2,323.50","2,312.60","2,328.90","2,306.00","830.79K","0.48%"
"17-02-2026","2,312.30","2,309.30","2,326.00","2,303.40","1.23M","-0.29%"
"16-02-2026","2,319.00","2,308.10","2,327.00","2,288.10","2.04M","0.60%"
