"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","301.45","304.00","306.00","300.65","25.66M","-0.87%"
"12-03-2026","304.10","307.05","308.00","302.85","23.32M","-1.59%"
"11-03-2026","309.00","309.05","310.65","307.70","14.84M","-0.02%"
"10-03-2026","309.05","309.00","310.00","303.75","18.35M","1.00%"
"09-03-2026","306.00","305.00","307.20","303.60","14.08M","-1.19%"
"06-03-2026","309.70","310.05","312.30","309.20","21.29M","-0.58%"
"05-03-2026","311.50","312.20","313.60","308.20","19.94M","-0.14%"
"04-03-2026","311.95","310.60","315.50","310.50","24.17M","-0.94%"
"02-03-2026","314.90","307.00","315.75","307.00","22.19M","0.41%"
"27-02-2026","313.60","316.00","317.75","312.65","13.89M","-1.48%"
"26-02-2026","318.30","320.00","321.40","317.60","11.27M","-0.45%"
"25-02-2026","319.75","325.50","326.60","318.10","13.49M","-1.16%"
"24-02-2026","323.50","324.00","325.40","322.05","13.14M","-0.58%"
"23-02-2026","325.40","327.00","328.10","324.40","13.49M","-0.49%"
"20-02-2026","327.00","325.05","327.85","325.05","11.28M","0.31%"
"19-02-2026","326.00","334.05","334.25","325.00","19.91M","-1.94%"
"18-02-2026","332.45","326.00","332.95","324.80","35.47M","2.15%"
"17-02-2026","325.45","318.45","328.05","318.15","39.36M","2.36%"
"16-02-2026","317.95","313.75","318.25","313.15","11.69M","1.34%"
