"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","752.40","754.00","767.50","750.35","2.23M","-0.63%"
"12-03-2026","757.15","762.00","764.30","749.35","4.31M","-0.58%"
"11-03-2026","761.60","790.00","792.90","759.30","1.03M","-3.58%"
"10-03-2026","789.90","779.95","792.75","779.95","1.62M","1.53%"
"09-03-2026","778.00","783.05","783.90","770.80","1.74M","-0.92%"
"06-03-2026","785.25","779.80","790.60","776.50","2.43M","0.82%"
"05-03-2026","778.85","772.20","782.95","769.80","1.01M","0.91%"
"04-03-2026","771.85","782.10","785.95","768.90","1.18M","-0.94%"
"02-03-2026","779.15","770.10","789.20","769.80","752.86K","-1.20%"
"27-02-2026","788.65","805.75","807.90","786.75","2.51M","-2.12%"
"26-02-2026","805.75","808.00","809.85","798.80","829.78K","-0.07%"
"25-02-2026","806.35","810.35","811.60","801.75","1.36M","-0.49%"
"24-02-2026","810.35","802.55","813.50","801.00","1.95M","1.11%"
"23-02-2026","801.45","795.00","804.95","787.20","1.45M","1.68%"
"20-02-2026","788.20","779.40","793.60","775.15","974.73K","1.03%"
"19-02-2026","780.15","795.95","800.00","776.10","1.69M","-1.99%"
"18-02-2026","795.95","774.60","798.00","773.60","2.44M","2.76%"
"17-02-2026","774.60","773.70","776.75","770.85","684.89K","0.23%"
"16-02-2026","772.85","762.55","774.00","757.00","731.19K","1.67%"
