"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","481.60","492.00","494.45","480.05","1.95M","-1.83%"
"12-03-2026","490.60","494.00","494.55","487.20","1.88M","-1.46%"
"11-03-2026","497.85","502.05","504.50","494.10","1.08M","-0.45%"
"10-03-2026","500.10","497.00","504.00","491.60","1.40M","1.84%"
"09-03-2026","491.05","495.00","497.25","484.05","1.89M","-1.90%"
"06-03-2026","500.55","499.90","504.55","496.40","879.65K","0.15%"
"05-03-2026","499.80","506.00","508.85","497.50","2.25M","-0.72%"
"04-03-2026","503.40","496.00","505.90","493.10","2.28M","0.12%"
"02-03-2026","502.80","500.00","505.50","496.05","1.80M","-1.02%"
"27-02-2026","508.00","514.00","518.20","502.65","1.82M","-1.73%"
"26-02-2026","516.95","516.65","519.55","504.10","4.08M","-0.35%"
"25-02-2026","518.75","523.00","527.80","513.00","2.48M","-0.70%"
"24-02-2026","522.40","530.00","532.80","518.80","1.56M","-1.98%"
"23-02-2026","532.95","535.00","537.60","525.30","1.84M","-0.27%"
"20-02-2026","534.40","529.95","536.95","526.00","914.96K","0.27%"
"19-02-2026","532.95","538.25","538.90","526.10","1.26M","-0.98%"
"18-02-2026","538.25","530.05","540.30","528.60","2.10M","1.52%"
"17-02-2026","530.20","524.90","535.95","521.85","1.78M","0.86%"
"16-02-2026","525.70","519.05","526.50","515.55","1.26M","0.85%"
