"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","10,522.00","10,840.00","10,840.00","10,499.00","20.28K","-2.76%"
"12-03-2026","10,821.00","10,726.00","10,950.00","10,555.00","18.05K","-0.17%"
"11-03-2026","10,839.00","10,809.00","10,897.00","10,657.00","9.11K","0.29%"
"10-03-2026","10,808.00","10,657.00","10,990.00","10,500.00","15.45K","1.92%"
"09-03-2026","10,604.00","10,885.00","10,885.00","10,575.00","13.20K","-2.58%"
"06-03-2026","10,885.00","11,107.00","11,204.00","10,800.00","20.05K","-2.10%"
"05-03-2026","11,118.00","11,250.00","11,250.00","11,014.00","8.78K","-0.96%"
"04-03-2026","11,226.00","11,036.00","11,250.00","10,973.00","8.33K","0.05%"
"02-03-2026","11,220.00","11,250.00","11,375.00","11,118.00","9.75K","-1.15%"
"27-02-2026","11,351.00","11,453.00","11,470.00","11,286.00","6.07K","-0.89%"
"26-02-2026","11,453.00","11,465.00","11,471.00","11,398.00","2.60K","0.09%"
"25-02-2026","11,443.00","11,500.00","11,502.00","11,403.00","3.86K","-0.44%"
"24-02-2026","11,493.00","11,475.00","11,537.00","11,450.00","5.74K","-0.01%"
"23-02-2026","11,494.00","11,587.00","11,587.00","11,460.00","2.68K","-0.06%"
"20-02-2026","11,501.00","11,536.00","11,550.00","11,400.00","4.40K","-0.15%"
"19-02-2026","11,518.00","11,588.00","11,618.00","11,475.00","2.90K","-0.66%"
"18-02-2026","11,594.00","11,600.00","11,633.00","11,522.00","4.21K","0.01%"
"17-02-2026","11,593.00","11,570.00","11,646.00","11,511.00","3.23K","0.20%"
"16-02-2026","11,570.00","11,750.00","11,750.00","11,501.00","3.17K","-1.06%"
