"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","3,030.60","3,136.80","3,228.00","3,006.50","154.56K","-2.85%"
"12-03-2026","3,119.50","3,040.00","3,150.00","3,020.00","297.69K","2.34%"
"11-03-2026","3,048.20","3,022.00","3,081.60","3,010.40","106.74K","1.61%"
"10-03-2026","2,999.90","2,979.00","3,023.40","2,967.80","123.03K","2.16%"
"09-03-2026","2,936.40","2,920.50","2,981.00","2,852.40","108.82K","-1.86%"
"06-03-2026","2,992.00","2,975.00","3,033.90","2,965.50","85.49K","0.57%"
"05-03-2026","2,974.90","2,905.00","2,988.90","2,900.10","111.45K","2.01%"
"04-03-2026","2,916.30","2,950.10","2,950.10","2,875.00","84.65K","-1.74%"
"02-03-2026","2,967.80","2,830.00","2,976.10","2,830.00","82.52K","-0.87%"
"27-02-2026","2,993.90","3,005.20","3,028.90","2,947.30","135.78K","0.50%"
"26-02-2026","2,978.90","3,035.00","3,054.00","2,970.00","161.36K","-1.40%"
"25-02-2026","3,021.30","2,988.00","3,036.50","2,957.20","185.71K","2.46%"
"24-02-2026","2,948.80","2,988.50","2,988.50","2,940.70","55.21K","-0.99%"
"23-02-2026","2,978.40","2,940.00","2,990.00","2,936.70","207.60K","1.33%"
"20-02-2026","2,939.40","2,958.00","2,959.30","2,900.00","46.36K","-0.69%"
"19-02-2026","2,959.70","2,976.00","2,991.50","2,950.10","76.31K","-0.07%"
"18-02-2026","2,961.90","2,967.10","2,980.00","2,950.00","85.29K","0.14%"
"17-02-2026","2,957.80","2,977.00","2,985.00","2,935.90","63.66K","0.60%"
"16-02-2026","2,940.10","2,937.00","2,972.90","2,921.00","80.67K","0.68%"
