"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","1,296.50","1,304.30","1,317.80","1,288.10","1.63M","-1.17%"
"12-03-2026","1,311.90","1,308.00","1,319.80","1,289.40","2.11M","0.54%"
"11-03-2026","1,304.80","1,291.00","1,318.50","1,290.00","2.54M","1.47%"
"10-03-2026","1,285.90","1,260.00","1,291.80","1,249.00","2.20M","3.09%"
"09-03-2026","1,247.30","1,202.30","1,251.80","1,182.10","2.18M","1.25%"
"06-03-2026","1,231.90","1,224.90","1,244.70","1,215.10","804.37K","0.52%"
"05-03-2026","1,225.50","1,198.00","1,230.70","1,198.00","900.60K","2.52%"
"04-03-2026","1,195.40","1,201.00","1,202.90","1,179.80","909.69K","-1.24%"
"02-03-2026","1,210.40","1,186.20","1,223.90","1,186.20","888.44K","-0.82%"
"27-02-2026","1,220.40","1,225.30","1,240.00","1,214.30","1.78M","-0.02%"
"26-02-2026","1,220.70","1,217.10","1,250.90","1,213.50","2.37M","0.76%"
"25-02-2026","1,211.50","1,166.00","1,217.00","1,162.40","3.04M","4.04%"
"24-02-2026","1,164.40","1,156.30","1,167.20","1,144.00","988.01K","1.20%"
"23-02-2026","1,150.60","1,166.10","1,174.20","1,143.30","989.99K","-0.71%"
"20-02-2026","1,158.80","1,173.80","1,178.20","1,149.10","1.07M","-1.08%"
"19-02-2026","1,171.40","1,156.40","1,200.90","1,156.40","3.47M","1.02%"
"18-02-2026","1,159.60","1,188.60","1,193.50","1,129.20","3.29M","-2.28%"
"17-02-2026","1,186.70","1,184.60","1,212.80","1,167.70","3.07M","0.18%"
"16-02-2026","1,184.60","1,142.00","1,187.20","1,141.90","1.56M","3.40%"
