"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","1,314.70","1,324.30","1,327.50","1,301.00","1.35M","-0.72%"
"12-03-2026","1,324.30","1,325.10","1,341.70","1,319.00","1.41M","-0.39%"
"11-03-2026","1,329.50","1,325.00","1,338.10","1,324.90","1.27M","-0.30%"
"10-03-2026","1,333.50","1,323.00","1,340.30","1,317.50","1.05M","0.64%"
"09-03-2026","1,325.00","1,309.00","1,329.80","1,292.70","1.67M","0.29%"
"06-03-2026","1,321.20","1,326.10","1,332.70","1,315.00","695.77K","-0.39%"
"05-03-2026","1,326.40","1,314.90","1,332.10","1,314.90","1.18M","1.01%"
"04-03-2026","1,313.20","1,348.20","1,348.90","1,311.00","1.94M","-2.84%"
"02-03-2026","1,351.60","1,313.00","1,354.50","1,313.00","1.90M","0.25%"
"27-02-2026","1,348.20","1,353.00","1,356.90","1,338.50","2.61M","-0.73%"
"26-02-2026","1,358.10","1,352.80","1,364.90","1,343.30","2.01M","0.89%"
"25-02-2026","1,346.10","1,326.70","1,349.00","1,326.70","1.02M","1.46%"
"24-02-2026","1,326.70","1,326.00","1,338.50","1,316.50","2.11M","0.02%"
"23-02-2026","1,326.50","1,335.90","1,335.90","1,308.80","2.44M","-1.09%"
"20-02-2026","1,341.10","1,328.90","1,342.90","1,324.30","1.55M","0.92%"
"19-02-2026","1,328.90","1,349.80","1,357.00","1,323.70","587.38K","-1.55%"
"18-02-2026","1,349.80","1,350.80","1,352.90","1,338.10","1.12M","0.44%"
"17-02-2026","1,343.90","1,350.00","1,356.00","1,340.10","1.41M","-0.92%"
"16-02-2026","1,356.40","1,331.00","1,358.00","1,327.50","1.62M","1.87%"
