"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","2,170.70","2,242.00","2,266.00","2,163.70","516.55K","-3.80%"
"12-03-2026","2,256.40","2,273.20","2,273.20","2,215.40","996.03K","-0.72%"
"11-03-2026","2,272.70","2,243.00","2,297.90","2,228.00","920.35K","2.11%"
"10-03-2026","2,225.80","2,140.00","2,240.00","2,130.40","1.55M","5.11%"
"09-03-2026","2,117.60","2,100.00","2,124.80","2,050.20","304.63K","-0.32%"
"06-03-2026","2,124.40","2,094.40","2,138.00","2,094.40","431.50K","0.73%"
"05-03-2026","2,108.90","2,042.20","2,118.90","2,042.20","523.39K","3.39%"
"04-03-2026","2,039.70","2,106.30","2,110.50","2,031.10","414.94K","-3.94%"
"02-03-2026","2,123.30","2,112.50","2,149.90","2,094.40","316.02K","-0.63%"
"27-02-2026","2,136.70","2,125.60","2,159.80","2,116.40","616.21K","0.58%"
"26-02-2026","2,124.30","2,080.00","2,139.00","2,080.00","516.23K","1.88%"
"25-02-2026","2,085.00","2,070.00","2,092.30","2,061.00","455.45K","1.28%"
"24-02-2026","2,058.60","2,028.50","2,078.50","2,025.40","372.42K","0.95%"
"23-02-2026","2,039.20","2,043.20","2,053.60","2,021.80","294.22K","-0.20%"
"20-02-2026","2,043.20","2,005.00","2,049.80","1,999.20","308.35K","1.31%"
"19-02-2026","2,016.70","2,028.00","2,057.00","2,005.00","360.96K","-0.66%"
"18-02-2026","2,030.20","2,038.00","2,044.50","2,009.00","352.16K","-0.42%"
"17-02-2026","2,038.80","2,028.90","2,046.90","2,021.80","201.76K","0.41%"
"16-02-2026","2,030.50","1,997.60","2,037.40","1,988.00","642.83K","1.65%"
