"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","2,314.90","2,348.00","2,361.90","2,297.20","695.88K","-1.80%"
"12-03-2026","2,357.30","2,337.00","2,361.40","2,306.00","870.86K","0.54%"
"11-03-2026","2,344.60","2,350.00","2,377.60","2,336.50","985.11K","0.31%"
"10-03-2026","2,337.40","2,318.00","2,358.00","2,314.60","1.12M","1.49%"
"09-03-2026","2,303.10","2,310.00","2,319.90","2,284.40","852.49K","-1.74%"
"06-03-2026","2,343.80","2,341.00","2,369.50","2,324.80","1.37M","0.47%"
"05-03-2026","2,332.90","2,310.00","2,361.60","2,310.00","1.68M","1.21%"
"04-03-2026","2,304.90","2,311.10","2,312.00","2,268.40","1.34M","-0.27%"
"02-03-2026","2,311.10","2,275.60","2,322.40","2,261.30","580.93K","0.40%"
"27-02-2026","2,301.90","2,330.00","2,336.30","2,291.70","955.39K","-0.92%"
"26-02-2026","2,323.20","2,292.20","2,331.80","2,288.80","914.96K","1.35%"
"25-02-2026","2,292.20","2,267.20","2,299.70","2,254.80","1.10M","1.87%"
"24-02-2026","2,250.20","2,252.50","2,257.90","2,235.00","1.07M","0.39%"
"23-02-2026","2,241.40","2,220.00","2,254.40","2,210.50","745.47K","0.99%"
"20-02-2026","2,219.40","2,218.00","2,241.20","2,210.40","509.57K","-0.42%"
"19-02-2026","2,228.70","2,234.00","2,251.00","2,205.10","492.28K","0.09%"
"18-02-2026","2,226.70","2,255.00","2,255.00","2,220.80","381.52K","-0.93%"
"17-02-2026","2,247.50","2,235.00","2,263.00","2,228.00","932.84K","1.17%"
"16-02-2026","2,221.50","2,219.30","2,238.80","2,191.90","1.26M","1.01%"
