"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","2,137.65","2,190.75","2,203.35","2,127.75","19.25K","-3.20%"
"12-03-2026","2,208.35","2,234.90","2,243.00","2,186.00","3.60K","-1.56%"
"11-03-2026","2,243.45","2,232.10","2,256.05","2,221.55","15.13K","0.25%"
"10-03-2026","2,237.80","2,208.05","2,245.00","2,169.35","18.50K","3.50%"
"09-03-2026","2,162.05","2,125.00","2,170.75","2,107.35","29.13K","-1.12%"
"06-03-2026","2,186.45","2,248.55","2,248.55","2,178.45","7.59K","-1.75%"
"05-03-2026","2,225.45","2,214.40","2,238.00","2,191.25","6.16K","0.94%"
"04-03-2026","2,204.75","2,203.35","2,233.75","2,195.00","7.39K","-1.79%"
"02-03-2026","2,244.95","2,060.35","2,251.30","2,060.35","39.73K","-0.12%"
"27-02-2026","2,247.65","2,260.05","2,276.85","2,235.50","28.94K","-1.42%"
"26-02-2026","2,280.05","2,178.45","2,285.00","2,147.35","144.86K","5.80%"
"25-02-2026","2,155.05","2,057.05","2,165.80","2,051.60","23.71K","4.95%"
"24-02-2026","2,053.45","2,027.70","2,061.85","2,027.70","3.99K","0.35%"
"23-02-2026","2,046.20","2,035.00","2,049.95","2,014.85","10.37K","0.93%"
"20-02-2026","2,027.30","2,041.25","2,055.60","2,016.00","7.71K","-0.50%"
"19-02-2026","2,037.55","2,075.60","2,087.35","2,032.10","23.53K","-1.81%"
"18-02-2026","2,075.20","2,063.95","2,078.30","2,047.65","7.35K","0.55%"
"17-02-2026","2,063.90","2,082.95","2,089.10","2,060.45","5.87K","-0.87%"
"16-02-2026","2,082.00","2,059.05","2,085.40","2,052.10","3.06K","1.05%"
