"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","1,292.30","1,310.00","1,319.90","1,280.90","1.57M","-2.02%"
"12-03-2026","1,319.00","1,321.00","1,337.30","1,303.60","1.97M","-0.49%"
"11-03-2026","1,325.50","1,311.10","1,336.00","1,311.10","2.45M","0.83%"
"10-03-2026","1,314.60","1,288.00","1,329.60","1,288.00","2.33M","2.14%"
"09-03-2026","1,287.00","1,285.50","1,294.90","1,273.60","1.60M","-1.29%"
"06-03-2026","1,303.80","1,313.50","1,316.40","1,290.80","963.70K","-0.74%"
"05-03-2026","1,313.50","1,292.50","1,322.10","1,292.50","1.06M","1.73%"
"04-03-2026","1,291.20","1,274.40","1,299.20","1,272.10","1.89M","-0.25%"
"02-03-2026","1,294.40","1,252.60","1,300.00","1,221.20","1.05M","0.63%"
"27-02-2026","1,286.30","1,313.80","1,317.20","1,278.20","3.51M","-2.50%"
"26-02-2026","1,319.30","1,311.20","1,327.00","1,305.00","1.51M","0.98%"
"25-02-2026","1,306.50","1,281.00","1,324.00","1,266.90","2.30M","0.48%"
"24-02-2026","1,300.20","1,307.50","1,315.00","1,297.10","1.80M","-0.55%"
"23-02-2026","1,307.40","1,290.00","1,313.50","1,282.10","1.85M","2.11%"
"20-02-2026","1,280.40","1,281.90","1,292.40","1,275.00","1.75M","-0.15%"
"19-02-2026","1,282.30","1,290.00","1,295.70","1,276.50","1.33M","0.16%"
"18-02-2026","1,280.30","1,289.00","1,291.50","1,276.60","690.00K","-0.35%"
"17-02-2026","1,284.80","1,266.00","1,286.80","1,258.20","687.33K","1.21%"
"16-02-2026","1,269.40","1,257.10","1,275.20","1,257.10","469.59K","0.10%"
