"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","1,801.60","1,822.00","1,833.30","1,797.00","2.55M","-1.30%"
"12-03-2026","1,825.30","1,828.00","1,833.60","1,808.40","2.61M","-0.03%"
"11-03-2026","1,825.90","1,823.00","1,843.00","1,818.10","2.51M","0.72%"
"10-03-2026","1,812.80","1,810.00","1,825.10","1,803.30","3.30M","0.30%"
"09-03-2026","1,807.40","1,772.90","1,815.00","1,770.00","4.11M","0.44%"
"06-03-2026","1,799.40","1,784.50","1,805.60","1,771.80","3.67M","0.83%"
"05-03-2026","1,784.50","1,750.00","1,794.90","1,748.00","3.60M","1.94%"
"04-03-2026","1,750.50","1,721.20","1,757.20","1,721.00","4.91M","-0.11%"
"02-03-2026","1,752.50","1,712.00","1,759.90","1,712.00","3.92M","0.89%"
"27-02-2026","1,737.00","1,779.00","1,788.10","1,730.90","3.04M","-2.73%"
"26-02-2026","1,785.70","1,764.20","1,792.20","1,760.30","2.08M","1.22%"
"25-02-2026","1,764.20","1,742.00","1,770.40","1,733.40","1.20M","1.87%"
"24-02-2026","1,731.80","1,732.00","1,745.90","1,723.70","2.77M","-0.03%"
"23-02-2026","1,732.30","1,732.90","1,735.80","1,720.20","1.55M","0.46%"
"20-02-2026","1,724.40","1,710.10","1,727.00","1,708.10","1.20M","0.64%"
"19-02-2026","1,713.40","1,722.20","1,727.00","1,710.00","1.14M","-0.64%"
"18-02-2026","1,724.40","1,720.40","1,730.60","1,717.10","1.26M","0.43%"
"17-02-2026","1,717.10","1,696.00","1,719.00","1,693.90","1.05M","0.98%"
"16-02-2026","1,700.50","1,697.50","1,715.00","1,693.40","1.25M","0.18%"
"13-02-2026","1,697.50","1,714.90","1,719.00","1,694.60","1.15M","-1.01%"
"12-02-2026","1,714.90","1,714.80","1,719.00","1,701.20","1.36M","0.22%"
"11-02-2026","1,711.10","1,715.00","1,716.70","1,702.50","1.18M","0.19%"
"10-02-2026","1,707.80","1,709.60","1,719.80","1,702.10","1.87M","0.19%"
"09-02-2026","1,704.60","1,706.70","1,713.40","1,696.00","2.65M","0.56%"
"06-02-2026","1,695.10","1,709.00","1,709.00","1,689.60","1.28M","-0.44%"
"05-02-2026","1,702.60","1,699.00","1,710.00","1,684.30","3.07M","-0.11%"
"04-02-2026","1,704.40","1,714.90","1,729.00","1,695.30","3.95M","0.14%"
"03-02-2026","1,702.10","1,709.90","1,725.00","1,671.00","8.52M","4.56%"
"02-02-2026","1,627.90","1,634.00","1,634.00","1,598.20","2.72M","1.11%"
"01-02-2026","1,610.10","1,640.00","1,655.70","1,590.00","2.37M","0.93%"
"30-01-2026","1,595.30","1,589.30","1,606.50","1,585.10","3.96M","0.38%"
"29-01-2026","1,589.30","1,625.00","1,625.00","1,583.70","5.80M","-1.32%"
"28-01-2026","1,610.60","1,639.90","1,649.30","1,600.00","4.12M","-1.73%"
"27-01-2026","1,638.90","1,658.20","1,658.20","1,622.30","2.67M","0.43%"
"23-01-2026","1,631.90","1,640.00","1,648.90","1,625.40","1.68M","-0.14%"
"22-01-2026","1,634.20","1,614.10","1,646.50","1,613.20","2.28M","1.32%"
"21-01-2026","1,612.90","1,637.00","1,645.00","1,607.70","3.95M","-0.06%"
"20-01-2026","1,613.80","1,674.10","1,674.10","1,602.80","5.02M","-3.68%"
"19-01-2026","1,675.40","1,650.00","1,687.30","1,600.00","2.98M","0.39%"
"16-01-2026","1,668.90","1,708.00","1,708.00","1,659.30","3.70M","-1.87%"
"14-01-2026","1,700.70","1,737.10","1,737.10","1,689.20","2.48M","-1.62%"
"13-01-2026","1,728.70","1,743.00","1,743.80","1,712.10","1.77M","-0.42%"
"12-01-2026","1,736.00","1,732.10","1,744.30","1,714.10","2.33M","0.35%"
"09-01-2026","1,729.90","1,765.20","1,765.20","1,727.00","1.59M","-1.75%"
"08-01-2026","1,760.70","1,766.00","1,778.60","1,757.70","1.91M","-1.23%"
"07-01-2026","1,782.60","1,755.00","1,806.60","1,748.50","3.06M","1.27%"
"06-01-2026","1,760.20","1,725.70","1,762.60","1,725.70","1.66M","1.81%"
"05-01-2026","1,728.90","1,728.00","1,746.00","1,723.40","1.42M","0.05%"
"02-01-2026","1,728.00","1,721.10","1,732.00","1,719.40","974.12K","0.40%"
"01-01-2026","1,721.10","1,720.00","1,726.00","1,708.90","877.52K","0.08%"
"31-12-2025","1,719.70","1,720.20","1,725.60","1,715.50","1.43M","-0.03%"
"30-12-2025","1,720.20","1,723.10","1,723.10","1,707.00","2.64M","0.17%"
"29-12-2025","1,717.20","1,719.50","1,727.50","1,710.30","1.80M","-0.13%"
"26-12-2025","1,719.50","1,737.00","1,737.00","1,708.00","2.51M","-1.01%"
"24-12-2025","1,737.00","1,755.90","1,759.00","1,719.00","2.22M","-1.08%"
"23-12-2025","1,755.90","1,772.00","1,774.60","1,751.70","1.12M","-0.79%"
"22-12-2025","1,769.80","1,744.90","1,773.20","1,743.10","1.47M","1.43%"
"19-12-2025","1,744.90","1,747.00","1,760.00","1,741.20","2.77M","-0.06%"
"18-12-2025","1,745.90","1,785.00","1,785.00","1,736.00","3.46M","-2.62%"
"17-12-2025","1,792.90","1,781.00","1,797.60","1,771.50","1.91M","0.65%"
"16-12-2025","1,781.30","1,790.00","1,791.90","1,778.30","1.53M","-0.88%"
"15-12-2025","1,797.10","1,779.00","1,804.60","1,777.60","1.40M","0.20%"
"12-12-2025","1,793.50","1,808.00","1,811.80","1,791.00","1.44M","-0.76%"
"11-12-2025","1,807.20","1,778.00","1,810.50","1,775.10","1.28M","1.22%"
"10-12-2025","1,785.50","1,787.90","1,791.70","1,767.90","2.32M","0.53%"
