"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","4,390.00","4,422.10","4,482.90","4,360.00","572.56K","-1.26%"
"12-03-2026","4,446.00","4,406.00","4,460.20","4,391.00","322.86K","0.33%"
"11-03-2026","4,431.20","4,450.00","4,456.40","4,413.10","311.57K","0.08%"
"10-03-2026","4,427.80","4,393.70","4,470.00","4,389.00","374.41K","1.24%"
"09-03-2026","4,373.70","4,295.00","4,388.40","4,259.20","470.67K","1.29%"
"06-03-2026","4,317.80","4,353.50","4,380.30","4,287.00","413.70K","-0.82%"
"05-03-2026","4,353.40","4,348.90","4,394.40","4,328.90","284.38K","0.29%"
"04-03-2026","4,341.00","4,310.10","4,364.90","4,285.10","433.70K","-0.65%"
"02-03-2026","4,369.20","4,191.00","4,397.50","4,175.20","231.77K","0.83%"
"27-02-2026","4,333.30","4,420.30","4,425.00","4,322.70","404.93K","-1.51%"
"26-02-2026","4,399.80","4,418.90","4,470.00","4,389.20","360.65K","-0.43%"
"25-02-2026","4,418.90","4,420.00","4,443.50","4,358.00","359.92K","0.48%"
"24-02-2026","4,397.90","4,307.00","4,423.00","4,281.50","846.80K","2.10%"
"23-02-2026","4,307.60","4,276.10","4,325.00","4,244.00","299.32K","1.55%"
"20-02-2026","4,241.70","4,224.10","4,250.40","4,175.50","341.53K","0.36%"
"19-02-2026","4,226.40","4,238.70","4,280.70","4,205.00","436.18K","0.37%"
"18-02-2026","4,210.80","4,258.40","4,269.90","4,186.60","347.89K","-1.12%"
"17-02-2026","4,258.40","4,271.50","4,276.10","4,218.50","250.83K","-0.07%"
"16-02-2026","4,261.50","4,144.30","4,324.90","4,118.00","1.64M","4.50%"
