"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","905.90","913.20","924.60","901.50","862.44K","-1.20%"
"12-03-2026","916.90","918.50","926.60","909.50","462.28K","-0.53%"
"11-03-2026","921.75","923.10","936.15","918.00","565.32K","-0.15%"
"10-03-2026","923.10","915.00","927.00","909.00","549.02K","1.57%"
"09-03-2026","908.85","888.00","911.90","885.10","482.10K","-0.46%"
"06-03-2026","913.05","914.65","919.50","905.80","456.55K","-0.17%"
"05-03-2026","914.65","900.00","918.00","898.10","465.44K","1.98%"
"04-03-2026","896.90","894.00","903.90","889.00","1.28M","-1.10%"
"02-03-2026","906.90","893.65","911.45","893.00","518.65K","-1.61%"
"27-02-2026","921.70","939.90","939.90","916.55","1.04M","-1.79%"
"26-02-2026","938.50","928.00","947.55","922.25","1.44M","2.05%"
"25-02-2026","919.65","903.50","921.00","902.10","564.59K","1.75%"
"24-02-2026","903.85","902.05","907.00","899.10","369.02K","-0.45%"
"23-02-2026","907.95","906.95","910.05","900.00","354.28K","0.80%"
"20-02-2026","900.75","905.80","908.00","898.30","531.75K","-0.18%"
"19-02-2026","902.40","919.75","919.75","900.30","736.00K","-0.84%"
"18-02-2026","910.05","910.00","912.90","900.20","291.24K","0.38%"
"17-02-2026","906.65","910.00","914.15","903.55","234.31K","-0.42%"
"16-02-2026","910.45","905.00","916.45","905.00","438.65K","0.64%"
